pid,rb,te,qbhit,qbhur,yac,drp,qbta
741567,1,2,0,0,0,0,0
741568,1,1,0,0,7,0,0
741569,1,1,0,0,0,0,0
741570,1,1,0,0,0,0,0
741571,1,1,0,0,1,0,0
741572,1,1,0,0,0,0,0
741573,1,1,1,0,10,0,0
741576,2,3,0,1,0,0,1
741577,2,3,0,0,0,0,0
741580,1,3,0,0,0,0,0
741581,1,2,0,0,0,0,0
741582,0,0,0,0,1,0,0
741583,1,1,0,0,0,0,0
741584,1,1,0,0,0,0,0
741585,1,2,0,0,0,0,0
741587,1,1,0,0,1,0,0
741588,1,3,0,0,0,0,0
741589,2,1,0,0,0,0,0
741590,1,1,0,0,0,0,0
741591,1,1,0,0,13,0,0
741592,1,3,0,0,4,0,0
741593,1,1,0,0,6,0,0
741594,1,2,0,0,0,0,0
741595,0,1,0,0,2,0,0
741596,0,1,0,0,0,0,0
741597,1,1,0,0,0,0,0
741598,1,3,0,1,0,0,1
741599,1,1,0,0,0,0,0
741600,1,2,0,0,0,0,0
741603,1,1,0,0,0,0,0
741604,1,1,0,0,2,0,0
741605,1,1,0,0,13,0,0
741606,1,1,0,0,0,0,0
741608,1,1,0,0,0,0,0
741609,1,1,0,0,0,0,0
741610,1,1,0,0,0,0,0
741613,0,3,0,0,0,1,0
741614,1,2,0,0,0,0,0
741615,1,1,1,0,0,0,0
741617,1,2,0,0,0,0,0
741618,1,2,0,0,0,0,0
741619,1,1,0,0,16,0,0
741620,1,1,0,0,0,0,0
741621,2,1,0,0,0,0,0
741622,2,1,0,0,3,0,0
741623,2,2,0,0,0,0,0
741624,2,2,0,0,0,0,0
741625,2,2,0,0,0,0,0
741626,2,2,0,0,0,0,0
741628,2,3,0,0,0,0,0
741631,2,1,0,0,0,0,0
741632,1,1,0,0,0,0,0
741633,0,3,0,0,0,0,0
741634,1,1,0,0,0,0,0
741635,1,1,0,0,0,0,0
741637,1,1,0,0,0,0,0
741638,1,1,0,0,0,0,0
741639,1,0,0,0,0,0,0
741642,1,1,0,0,0,0,0
741643,1,1,0,0,5,0,0
741644,1,1,0,0,0,0,0
741645,1,1,0,0,8,0,0
741646,1,1,0,0,0,0,0
741647,1,1,0,0,0,0,0
741648,1,1,1,1,0,0,0
741649,1,1,0,0,3,0,0
741650,1,1,0,0,0,0,0
741651,1,1,0,0,0,0,0
741653,1,2,0,0,1,0,0
741654,1,1,0,0,3,0,0
741657,2,3,0,0,0,0,0
741659,2,1,0,0,0,0,0
741661,1,1,0,0,9,0,0
741662,1,2,0,0,14,0,0
741663,1,1,0,0,1,0,0
741665,1,2,1,1,0,0,0
741666,1,1,0,0,9,0,0
741667,1,1,0,0,0,0,0
741668,2,2,0,0,0,0,0
741669,2,1,0,0,0,0,0
741671,1,1,0,0,35,0,0
741674,1,1,0,0,0,0,0
741675,2,1,0,0,0,0,0
741676,1,1,0,0,3,0,0
741677,1,1,1,1,0,0,1
741678,1,2,0,0,0,0,0
741679,1,1,1,0,0,1,0
741681,2,1,0,0,0,0,0
741682,1,1,0,0,0,1,0
741683,1,1,0,0,0,0,0
741686,1,1,0,0,9,0,0
741688,2,3,0,0,0,0,0
741689,2,3,0,0,0,0,0
741692,1,2,0,0,9,0,0
741693,1,1,0,0,0,0,0
741694,1,1,1,0,0,0,0
741698,1,1,0,0,4,0,0
741699,1,1,0,0,0,0,0
741700,1,1,0,0,0,0,0
741701,1,1,0,0,0,0,0
741702,1,1,0,0,0,0,0
741703,1,1,0,0,0,0,0
741707,1,2,0,0,0,0,0
741708,1,2,0,0,5,0,0
741709,1,1,0,0,46,0,0
741712,1,1,0,0,22,0,0
741713,1,1,0,0,6,0,0
741714,1,1,0,0,0,0,0
741715,1,1,0,0,6,0,0
741716,2,3,0,0,0,0,0
741717,1,1,0,0,0,0,0
741718,1,1,0,0,0,0,0
741719,0,1,0,0,4,0,0
741722,1,2,0,0,0,0,0
741723,1,2,0,0,0,0,0
741724,1,1,0,0,0,0,0
741725,1,1,0,1,0,0,1
741726,1,1,0,0,0,0,0
741728,1,1,0,0,5,0,0
741729,1,2,0,0,0,0,0
741730,1,2,0,0,6,0,0
741731,1,1,0,0,4,0,0
741732,1,2,0,1,0,0,1
741733,1,2,0,0,6,0,0
741734,1,1,0,0,0,0,0
741737,1,1,1,0,0,0,0
741738,1,1,1,0,0,0,0
741739,1,1,0,0,0,0,0
741741,1,3,0,0,0,0,0
741742,2,2,0,0,0,0,0
741745,1,1,1,0,0,0,0
741746,1,1,1,0,0,0,0
741747,1,1,0,0,0,0,0
741749,2,2,0,0,0,0,0
741750,2,2,0,0,0,0,0
741752,2,1,0,0,0,0,0
741753,2,2,0,0,0,0,0
741754,2,2,0,0,0,0,0
741755,2,2,0,0,0,0,0
741757,1,1,0,0,6,0,0
741758,1,1,0,0,0,0,0
741759,1,0,0,0,9,0,0
741760,1,2,0,0,0,0,0
741761,0,2,0,0,0,0,0
741762,1,1,0,0,0,0,0
741763,1,2,0,0,0,0,0
741764,1,1,0,0,0,0,0
741767,1,1,0,0,0,0,0
741768,1,1,1,0,0,0,0
741769,1,1,0,0,0,1,0
741771,0,1,0,0,6,0,0
741772,1,2,0,0,0,0,0
741773,2,2,0,0,0,0,0
741775,1,1,1,0,0,0,0
741776,1,1,0,0,2,0,0
741777,1,0,0,0,0,0,1
741778,2,2,0,0,0,0,0
741779,1,2,0,0,0,0,0
741780,1,0,0,0,0,0,0
741781,1,1,0,1,0,0,0
741783,1,2,1,1,3,0,0
741784,1,1,0,0,0,0,0
741785,1,1,0,0,1,0,0
741788,1,2,0,0,0,0,0
741789,1,1,0,0,8,0,0
741790,1,1,1,1,0,0,0
741791,1,1,0,0,0,0,0
741792,1,1,0,0,3,0,0
741794,1,1,0,0,2,0,0
741795,1,1,0,0,0,0,0
741796,2,2,0,0,1,0,0
741797,0,1,0,0,0,0,0
741799,1,2,0,0,0,0,0
741800,1,0,0,0,0,0,0
741801,1,1,0,0,26,0,0
741802,1,2,0,1,0,0,0
741804,2,0,0,1,0,0,0
741806,1,1,0,0,0,0,0
741807,1,1,0,0,1,0,0
741808,1,1,1,0,0,0,0
741809,1,1,0,0,0,0,0
741810,1,1,0,0,0,0,0
741811,1,1,0,0,0,0,0
741812,1,1,0,0,2,0,0
741813,1,1,0,0,0,0,0
741814,2,2,0,0,0,0,0
741815,1,1,0,0,0,0,0
741816,1,1,0,1,0,0,0
741819,1,1,0,0,0,1,0
741820,0,1,0,0,0,0,0
741821,1,0,0,1,0,0,1
741823,1,2,0,0,0,0,0
741824,0,1,0,0,0,0,0
741825,1,1,1,1,0,0,0
741827,0,1,0,0,0,0,0
741828,1,1,0,0,0,0,0
741829,1,0,0,0,0,0,0
741830,1,1,0,0,6,0,0
741832,1,1,0,0,0,0,0
741833,1,1,0,0,0,0,0
741834,1,1,0,0,0,0,0
741835,1,1,0,0,0,1,0
741836,0,0,0,0,0,0,0
741837,0,0,1,1,0,0,0
741839,1,1,0,0,12,0,0
741840,1,1,0,0,0,0,0
741841,1,1,0,0,0,0,0
741842,1,1,0,0,9,0,0
741843,1,1,1,1,0,0,1
741844,1,1,0,1,0,1,0
741845,1,1,0,0,3,0,0
741848,1,2,0,0,0,0,0
741849,1,2,0,0,4,0,0
741850,1,1,0,0,5,0,0
741851,1,1,0,0,0,0,0
741852,0,1,0,0,1,0,0
741853,1,1,0,0,0,1,0
741855,1,1,0,0,0,0,0
741856,1,1,1,0,20,0,0
741857,1,1,0,0,0,0,0
741859,1,1,0,0,0,0,0
741860,1,1,0,0,0,0,0
741861,1,1,0,0,0,0,0
741862,1,1,0,0,0,0,0
741863,1,0,0,0,6,0,0
741864,1,1,0,0,4,0,0
741866,1,1,0,0,0,0,0
741867,1,1,0,0,5,0,0
741868,1,1,0,0,0,0,0
741871,1,1,0,0,11,0,0
741872,1,1,0,0,0,0,0
741873,1,1,0,0,0,1,0
741874,1,1,0,1,0,0,1
741876,1,1,0,0,0,0,0
741877,1,1,0,0,0,0,0
741878,1,1,0,0,5,0,0
741881,1,1,0,0,3,0,0
741882,1,1,0,0,0,0,0
741883,1,2,0,0,0,0,0
741885,1,1,0,0,0,0,0
741886,1,0,0,0,0,0,0
741887,1,0,1,0,0,0,0
741889,1,1,0,0,0,0,0
741890,1,1,0,0,0,1,0
741891,1,1,0,0,5,0,0
741892,1,1,0,0,0,0,0
741893,1,1,0,0,7,0,0
741894,1,2,0,0,0,0,0
741895,1,1,0,0,0,0,0
741896,1,1,0,0,0,0,0
741897,1,0,0,0,0,0,0
741898,1,1,0,0,0,0,0
741901,1,1,0,0,15,0,0
741902,1,2,0,0,0,0,0
741903,1,1,0,0,6,0,0
741905,0,0,0,0,0,0,0
741907,1,2,0,0,0,0,0
741908,1,1,0,0,0,0,0
741909,1,1,0,1,2,0,0
741910,1,2,0,0,0,0,0
741911,1,2,0,0,0,0,0
741914,1,1,1,1,0,0,0
741917,0,1,0,0,1,0,0
741918,0,0,0,0,6,0,0
741919,1,1,0,0,2,0,0
741920,1,1,1,0,0,0,0
741922,1,0,1,1,0,0,0
