uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp,nflid
145191,4524,RP-0200,6,5,0,0,0,0,0,0,0,0,0,0,0,68,8.5,0,18,7,2017,KC,FS,38,1,2530794
145192,4524,DJ-1600,4,4,0,0,0,0,1,0,0,0,0,0,0,68,7,0,14,13,2017,KC,LILB,56,1,2506353
145193,4524,EB-0800,3,4,0,0,0,0,0,0,0,0,0,0,0,68,5,0,18,8,2017,KC,SS,29,1,496723
145194,4524,PG-0050,4,0,0,0,0,0,0,0,0,0,0,0,0,53,4,0,11,4,2017,KC,LCB,23,2,2543851
145195,4524,DF-1350,2,2,0,0,0,0,0,0,1,0,0,0,5,68,5,0,17,4,2017,KC,ROLB,55,1,2543494
145196,4524,TM-2850,3,2,0,0,0,0,1,0,0,0,0,0,46,68,5,0,7,4,2017,KC,RCB,39,1,2543637
145197,4524,JR-2150,1,3,0,0,0,0,0,0,1,0,0,0,0,41,4.5,0,3,3,2017,NE,SS,37,2,2552392
145198,4524,DM-1300,9,1,0,0,0,0,2,1,0,0,0,0,0,67,13.5,2,20,8,2017,NE,FS,32,1,494287
145199,4524,BL-1350,2,3,0,0,0,0,0,0,0,0,0,0,0,44,3.5,0,14,5,2017,KC,NT,96,1,2540163
145200,4524,AB-0100,4,2,1,0,0,0,0,0,0,0,0,0,0,65,7,1,6,7,2017,KC,RDE,97,1,2495116
145201,4524,SG-0650,2,2,0,0,0,0,1,0,0,0,0,0,0,68,4,0,16,6,2017,NE,RCB,24,1,2533062
145202,4524,MB-3875,4,2,0,0,0,0,0,0,0,0,0,0,0,48,5,0,20,3,2017,NE,DT,90,1,2552483
145203,4524,MB-5250,4,0,0,0,0,0,0,0,0,0,0,0,20,68,4,0,20,4,2017,NE,LCB,21,1,2550613
145204,4524,PC-0300,2,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,20,9,2017,NE,SS,23,1,71251
145205,4524,KV-0075,5,1,0,0,0,0,0,0,0,0,0,0,0,68,5.5,0,18,4,2017,NE,MLB,53,2,543699
145206,4524,DS-3162,2,0,0,0,0,0,0,0,0,0,0,0,20,48,2,0,18,4,2017,KC,SS,49,2,2550257
145207,4524,BK-0950,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,3,2017,NE,FS,36,3,2553665
145208,4524,TF-0750,2,3,2,0,0,0,0,0,0,0,0,0,0,68,7.5,2,20,3,2017,NE,RDE,98,1,2552278
145209,4524,JH-5500,3,2,2,0,0,0,0,0,0,0,0,0,0,68,8,2,7,7,2017,KC,LOLB,50,1,2495493
145210,4524,MP-0950,0,2,0,0,0,0,0,0,0,0,0,0,0,68,1,0,17,3,2017,KC,LCB,22,1,2552488
145211,4524,RM-4200,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,0,7,9,2017,KC,NT,98,2,79611
145212,4524,AB-2700,1,1,0,0,0,0,0,0,0,0,0,0,0,42,1.5,0,20,11,2017,NE,DT,97,1,2495561
145213,4524,LG-1000,2,3,0,0,0,0,0,0,0,0,0,0,0,26,3.5,0,17,7,2017,NE,LDE,93,1,2495481
145214,4524,DH-2950,1,1,0,0,0,0,0,0,0,0,0,0,0,35,1.5,0,17,6,2017,NE,MLB,54,1,2533057
145215,4524,DW-4150,1,0,1,0,0,0,0,0,0,0,0,0,0,17,3,1,1,1,2017,NE,DL,91,3,2558000
145216,4524,FZ-0100,0,1,0,0,0,0,0,0,0,0,0,0,19,7,0.5,0,17,8,2017,KC,LOLB,51,2,2507948
145217,4524,CM-0250,2,1,0,0,0,0,0,0,0,0,0,0,5,23,2.5,0,19,4,2017,NE,RDE,55,2,2543868
145218,4524,AB-4000,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0.5,0,1,1,2017,NE,DT,70,2,2558924
145219,4524,ER-0475,1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,13,3,2017,NE,RCB,25,2,2552255
145220,4524,DH-1400,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,16,11,2017,NE,WLB,45,1,2495621
145221,4524,EM-2100,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0.5,0,13,2,2017,KC,FS,21,2,2555173
145222,4525,QD-0300,3,0,0,0,0,0,3,0,0,0,0,0,0,58,6,0,13,3,2017,DET,RCB,28,3,2552262
145223,4525,EA-0550,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,14,5,2017,DET,DL,94,3,2539931
145224,4525,GQ-0100,4,1,0,0,0,1,0,0,1,0,0,0,0,71,8.5,2,18,9,2017,DET,FS,27,1,71441
145225,4525,AZ-0200,3,0,1,0,0,0,0,0,0,0,0,0,6,46,5,1,15,2,2017,DET,RDE,69,2,2555268
145226,4525,NL-0250,2,1,0,0,0,0,1,0,0,0,0,0,3,32,3.5,0,18,4,2017,DET,RCB,24,1,2543872
145227,4525,TW-3250,3,0,0,0,0,1,0,0,0,0,0,0,15,71,5,2,17,6,2017,DET,SS,32,1,2534830
145228,4525,HR-0050,6,2,0,0,0,0,0,0,0,0,0,0,0,41,7,0,1,1,2017,ARI,SILB,43,2,2557887
145229,4525,JB-3350,3,1,0,0,0,1,1,0,0,1,0,0,0,69,12.5,8,9,6,2017,ARI,RCB,28,1,2532792
145230,4525,KD-0100,5,2,0,0,0,0,0,0,0,0,0,0,0,68,6,0,17,14,2017,ARI,RILB,56,1,2506112
