uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
105738,4524,741567,NE,1,KOFF,1,2,52,27,9,6,2,2,1,18,4,43,5,3,12,0,73,TD
105739,4524,741580,KC,1,KOFF,1,0,8,25,1,0,1,0,0,7,1,0,0,0,0,0,7,FUM
105740,4524,741581,NE,2,FUM,1,2,35,68,7,1,1,0,1,9,3,8,4,2,5,0,22,DWNS
105741,4524,741589,KC,2,DWNS,1,6,22,10,12,10,1,6,0,24,4,66,8,7,0,0,90,TD
105742,4524,741603,NE,3,KOFF,1,3,7,25,8,4,1,2,0,20,4,42,3,2,5,0,67,FG
105743,4524,741613,KC,3,KOFF,2,1,39,45,3,0,0,0,0,4,1,-3,2,0,0,0,1,PUNT
105744,4524,741617,NE,4,PUNT,2,5,50,18,11,8,3,2,0,41,8,38,3,2,3,0,82,TD
105745,4524,741631,KC,4,KOFF,2,3,43,23,5,1,1,0,0,18,4,-12,1,0,0,0,6,PUNT
105746,4524,741637,NE,5,PUNT,2,0,57,40,3,1,0,0,0,4,1,0,2,0,0,0,4,PUNT
105747,4524,741641,KC,5,PUNT,2,2,34,8,12,9,0,6,1,14,2,62,10,9,20,4,92,TD
105748,4524,741657,NE,6,KOFF,2,0,13,18,1,0,0,0,0,-1,1,0,0,0,0,0,-1,ENDQ
105749,4524,741659,KC,6,KOFF,3,3,7,25,4,2,1,0,0,10,1,19,3,3,0,10,19,PUNT
105750,4524,741665,NE,7,PUNT,3,2,25,17,5,1,0,1,0,-2,2,8,3,1,0,0,9,PUNT
105751,4524,741671,KC,7,PUNT,3,0,9,25,1,1,0,1,0,0,0,75,1,1,0,0,75,TD
105752,4524,741674,NE,8,KOFF,3,2,11,25,6,1,0,1,0,9,2,17,4,1,0,0,26,PUNT
105753,4524,741681,KC,8,PUNT,3,0,46,14,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
105754,4524,741685,NE,9,PUNT,3,1,21,46,3,2,1,1,1,1,2,22,1,1,31,0,54,TD
105755,4524,741692,KC,9,KOFF,3,2,11,13,3,1,0,0,0,1,1,7,2,1,0,10,-2,PUNT
105756,4524,741698,NE,10,PUNT,3,2,41,28,7,4,1,1,0,9,5,54,1,1,0,5,58,FG
105757,4524,741706,KC,10,KOFF,3,1,2,10,3,3,0,2,0,13,1,82,2,2,0,5,90,TD
105758,4524,741712,NE,11,KOFF,4,1,46,25,5,2,0,1,0,0,1,35,4,3,0,0,35,DWNS
105759,4524,741717,KC,11,DWNS,4,1,53,40,3,0,0,0,0,2,1,7,2,1,0,5,9,PUNT
105760,4524,741722,NE,12,PUNT,4,1,33,13,5,1,1,0,0,16,2,0,3,0,0,0,16,PUNT
105761,4524,741728,KC,12,PUNT,4,3,41,40,7,6,2,2,0,11,2,49,5,4,0,0,60,TD
105762,4524,741737,NE,13,KOFF,4,0,59,25,3,0,0,0,0,0,0,-7,3,0,0,0,-7,PUNT
105763,4524,741741,KC,13,PUNT,4,0,15,21,2,2,2,0,0,79,2,0,0,0,0,0,79,TD
105764,4524,741745,NE,14,KOFF,4,1,16,14,3,0,0,0,0,0,0,-13,3,0,0,0,-13,PUNT
105765,4524,741749,KC,14,PUNT,4,2,44,58,6,1,1,0,0,1,6,0,0,0,5,0,6,ENDQ
105766,4525,741757,ARI,1,KOFF,1,3,0,23,6,2,0,1,0,0,2,19,4,2,0,0,19,INT
105767,4525,741763,DET,1,INT,1,0,46,74,2,1,0,0,0,5,1,0,1,0,0,0,5,INT
