pid,fgxp,fkicker,dist,good
741578,XP,SG-0800,33,1
741601,XP,CS-0250,33,1
741611,FG,SG-0800,25,1
741629,XP,SG-0800,33,1
741655,XP,CS-0250,33,1
741672,XP,CS-0250,33,1
741690,XP,SG-0800,33,1
741704,FG,SG-0800,32,1
741710,XP,CS-0250,33,1
741735,XP,CS-0250,33,1
741743,XP,CS-0250,33,1
741765,XP,PD-0200,33,1
741786,FG,PD-0200,24,1
741838,FG,PD-0200,32,0
741846,FG,MP-2100,58,1
741869,XP,PD-0200,33,1
741912,XP,MP-2100,33,1
741915,XP,MP-2100,33,1
741945,FG,MB-4600,48,1
741965,FG,CB-0700,54,1
741987,XP,MB-4600,33,1
741997,XP,CB-0700,33,1
742030,FG,MB-4600,28,1
742044,XP,MB-4600,33,1
742056,XP,CB-0700,33,1
742067,FG,MB-4600,37,1
742109,FG,JT-3950,25,1
742150,XP,JT-3950,33,1
742155,XP,JT-3950,33,1
742194,FG,JT-3950,25,1
742249,FG,JM-7000,42,1
742280,FG,JM-7000,25,1
742312,XP,JM-7000,33,0
742321,XP,JM-7000,33,1
742343,XP,KF-0075,33,1
742356,XP,JM-7000,33,1
742378,FG,JM-7000,39,0
742403,FG,JM-7000,38,1
742454,XP,SH-0400,33,1
742464,FG,CC-1150,48,1
742472,FG,SH-0400,46,0
742480,FG,CC-1150,52,1
742512,XP,SH-0400,33,1
742536,XP,SH-0400,33,1
742578,XP,GT-0150,33,1
742592,XP,RS-3400,33,1
742610,FG,GT-0150,20,1
742640,FG,RS-3400,23,1
742646,FG,GT-0150,52,1
742672,FG,GT-0150,52,1
742682,FG,RS-3400,26,1
742691,XP,GT-0150,33,1
742713,FG,RS-3400,52,1
742723,FG,GT-0150,43,1
742732,FG,RS-3400,52,0
742745,XP,CS-4250,33,1
742775,XP,CS-4250,33,0
742787,XP,DH-3970,33,1
742805,XP,DH-3970,33,1
742816,FG,CS-4250,50,1
742828,FG,CS-4250,42,1
742847,FG,DH-3970,33,1
742881,FG,CS-4250,37,1
742900,XP,CB-2275,33,1
742929,XP,ZG-0050,33,1
742972,XP,CB-2275,33,1
742988,FG,ZG-0050,24,1
742997,XP,CB-2275,33,1
743054,FG,GZ-2000,50,1
743059,XP,GZ-2000,33,1
743071,FG,AV-0400,20,1
743101,XP,GZ-2000,33,1
743113,XP,GZ-2000,33,1
743125,FG,GZ-2000,35,1
743136,FG,AV-0400,38,0
743144,FG,GZ-2000,44,1
743147,XP,GZ-2000,33,1
743173,XP,AV-0400,33,0
743191,XP,GZ-2000,33,1
743230,XP,GG-0100,33,1
743267,FG,GG-0100,39,1
743282,FG,GG-0100,36,1
743292,XP,GG-0100,33,1
743308,FG,GG-0100,20,1
743320,FG,RG-1500,44,1
743427,FG,BW-0350,33,1
743441,XP,MC-3000,33,1
743455,FG,BW-0350,21,1
743467,XP,MC-3000,33,1
743486,FG,MC-3000,40,1
743494,FG,BW-0350,41,1
743533,FG,DB-0200,21,1
743553,FG,DB-0200,48,1
743581,XP,DB-0200,33,1
743593,FG,DB-0200,42,1
743612,FG,AR-1450,25,1
743655,FG,DB-0200,36,1
743683,FG,WL-0300,43,1
743699,FG,KF-0250,24,1
743723,FG,WL-0300,21,1
743728,XP,KF-0250,33,1
743746,XP,KF-0250,33,0
743756,FG,KF-0250,32,1
743776,FG,WL-0300,24,1
743787,XP,KF-0250,33,1
743800,FG,WL-0300,20,1
743809,FG,KF-0250,45,1
743819,XP,WL-0300,33,1
743853,XP,BM-1650,33,1
743865,XP,YK-0100,33,1
743887,XP,BM-1650,33,1
743913,XP,BM-1650,33,1
743932,FG,BM-1650,20,1
743949,XP,YK-0100,33,1
743954,XP,YK-0100,33,1
743960,FG,BM-1650,50,0
743978,FG,YK-0100,44,0
744014,FG,KF-0075,26,1
744020,FG,RB-4650,39,1
744053,XP,KF-0075,33,1
744060,FG,RB-4650,29,1
744080,FG,RB-4650,30,1
744131,FG,KF-0075,42,1
744165,XP,AV-0400,33,1
744178,FG,AV-0400,46,1
744207,FG,PD-0200,27,1
744271,FG,AV-0400,29,1
744280,XP,PD-0200,33,1
744292,FG,PD-0200,40,1
744312,FG,PD-0200,42,0
744318,FG,PD-0200,30,1
744332,FG,GG-0100,34,1
744376,FG,GG-0100,28,1
744434,FG,SH-0400,45,1
744451,FG,GG-0100,20,1
744480,FG,NF-0300,42,1
744498,XP,NF-0300,33,1
744519,XP,NF-0300,33,1
744527,XP,NF-0300,33,0
744544,FG,NF-0300,50,1
744583,FG,NF-0300,23,1
744619,XP,CB-0700,33,1
744651,XP,JT-3950,33,1
744678,XP,JT-3950,33,1
744686,XP,ZG-0050,33,1
744703,FG,JT-3950,58,0
744711,XP,JT-3950,33,1
744729,FG,ZG-0050,38,1
744750,FG,JT-3950,28,1
744823,XP,CB-2275,33,1
744836,XP,CB-2275,33,1
744848,FG,KF-0250,42,1
744889,FG,CB-2275,46,1
744898,XP,KF-0250,33,0
744909,FG,CB-2275,29,1
744952,FG,CB-2275,37,1
744965,FG,CB-2275,43,1
744984,XP,SG-0800,33,0
744992,FG,WL-0300,46,1
744999,XP,SG-0800,33,1
745015,XP,SG-0800,33,1
745027,XP,WL-0300,33,1
745041,FG,WL-0300,35,1
745049,XP,SG-0800,33,1
745065,FG,SG-0800,28,1
745093,FG,WL-0300,49,0
745102,FG,SG-0800,24,1
745119,FG,SG-0800,27,1
745131,XP,WL-0300,33,1
745157,FG,CS-0250,34,1
745171,FG,JE-0250,34,1
745215,FG,CS-0250,39,1
745219,FG,JE-0250,30,0
745242,XP,JE-0250,33,1
745249,XP,CS-0250,33,1
745261,FG,JE-0250,40,1
745276,XP,CS-0250,33,1
745288,XP,CS-0250,33,1
745303,XP,JE-0250,33,1
745322,FG,JM-7000,43,1
745334,FG,RS-3400,40,1
745385,FG,RS-3400,41,1
745399,FG,RS-3400,26,1
745408,XP,RS-3400,33,1
745419,XP,RS-3400,33,1
745440,XP,RS-3400,33,1
745456,XP,RS-3400,33,1
745464,XP,JM-7000,33,1
745489,FG,CP-0575,30,1
745507,FG,YK-0100,41,1
745527,XP,YK-0100,33,1
745542,FG,YK-0100,43,0
745557,XP,CP-0575,33,1
745567,XP,YK-0100,33,1
745580,FG,CP-0575,28,1
745604,FG,CP-0575,35,1
745617,FG,CP-0575,54,1
745625,FG,YK-0100,44,0
745648,XP,GT-0150,33,1
745664,XP,GT-0150,33,1
745673,XP,CC-1150,33,1
745690,FG,CC-1150,46,1
745699,XP,GT-0150,33,1
745716,FG,CC-1150,40,1
745725,XP,GT-0150,33,1
745739,XP,GT-0150,33,1
745744,XP,GT-0150,33,1
745756,XP,CC-1150,33,1
745770,FG,GT-0150,29,1
745786,XP,BM-1650,33,1
745803,FG,BM-1650,49,0
745816,XP,DB-0200,33,1
745833,XP,BM-1650,33,1
745848,XP,BM-1650,33,1
745857,FG,DB-0200,56,1
745878,XP,BM-1650,33,1
745887,XP,BM-1650,33,1
745908,XP,DB-0200,33,1
745952,XP,BM-1650,33,1
745973,FG,BW-0350,25,1
745994,FG,BW-0350,27,1
746027,FG,RG-1500,40,1
