pid,psr,ints,iry
741762,CP-0500,TW-3250,23
741764,MS-4100,JB-3350,82
741804,CP-0500,GQ-0100,25
741914,CP-0500,MK-0752,35
742116,AD-0100,BC-0500,20
742133,AD-0100,CM-3250,31
742153,AD-0100,LW-0700,10
742168,JF-1900,NV-0200,0
742233,AD-0100,JS-4300,8
742399,DW-1725,TG-0950,67
742426,TT-0500,JB-7950,48
742551,JM-2900,JP-4150,0
742569,JM-2900,MH-4000,12
742786,CW-1425,RK-0500,24
742861,KC-2350,JM-4850,15
743009,DK-0875,TW-1137,17
743017,BR-1100,DK-0625,30
743058,ST-0700,TJ-2250,39
743146,ST-0700,LJ-1800,29
743252,CN-0500,JT-0650,37
743285,BH-1900,LK-0600,23
743364,AR-1300,NJ-0500,64
743643,EM-0200,AB-3450,0
743905,PR-0300,BR-1050,0
743942,TS-1450,AP-1050,4
744221,CP-0500,MH-3250,32
744314,JB-5725,TM-0850,15
744492,MG-0850,KA-0625,22
744526,MG-0850,RM-1900,47
744660,DK-0875,EW-0400,2
744664,JF-1900,JM-2800,0
744707,KH-2050,TB-2025,27
744761,DK-0875,LW-0700,0
744773,DK-0875,BC-0500,4
745270,CW-1425,CJ-2168,-3
745361,MM-0912,TS-2050,2
745372,BB-2425,CR-0887,2
745389,BB-2425,DS-1400,8
745884,DP-2037,CH-1500,23
745900,TS-1450,JL-1825,25
745951,DP-2037,AT-0100,103
745984,BH-1900,BW-0150,7
746269,JG-1850,MF-1400,10
746351,AR-1300,DT-1970,0
746480,EM-0200,TW-1750,18
746588,BH-1900,NR-0350,25
746824,JF-1900,AB-2250,19
746871,JF-1900,JR-0150,1
747005,MR-2500,GQ-0100,37
747051,MR-2500,DS-2250,15
747079,MR-2500,DS-2250,37
747222,DK-0875,RM-3850,7
747242,DK-0875,RM-3850,21
747296,DK-0875,MH-3250,12
747416,TS-1450,EG-0050,1
747441,TS-1450,TW-1725,14
747518,DW-1725,SG-0650,39
747642,DW-1725,DH-1250,12
747739,MH-0050,TB-2750,0
747786,JC-6200,TB-2750,13
747851,CN-0500,PW-0850,7
747916,CN-0500,MW-2275,0
747924,CN-0500,KV-0050,30
747994,EM-0200,RD-1550,0
748034,EM-0200,PR-0400,0
748251,MG-0850,JW-3050,0
748350,JW-5650,TW-1187,18
748417,JW-5650,AS-0600,36
748433,JW-5650,HS-0130,12
748675,AR-1300,WJ-0150,75
748796,PR-0300,TM-2850,0
748810,PR-0300,MP-0950,38
748836,PR-0300,TM-2850,0
748953,DC-0725,MN-0550,0
748998,DC-0725,KF-0450,0
