uid,gid,player,pat,fgs,fgm,fgl,fp,game,seas,year,team
8972,4524,SG-0800,3,2,0,0,9,1,12,2017,NE
8973,4524,CS-0250,6,0,0,0,6,1,4,2017,KC
8974,4525,PD-0200,2,1,0,0,5,1,20,2017,ARI
8975,4525,MP-2100,2,0,0,1,7,1,12,2017,DET
8976,4526,MB-4600,2,2,1,0,12,1,16,2017,ATL
8977,4526,CB-0700,2,0,0,1,7,1,10,2017,CHI
8978,4527,JT-3950,2,2,0,0,8,1,6,2017,BAL
8979,4528,JM-7000,2,2,1,0,12,1,3,2017,JAC
8980,4528,KF-0075,1,0,0,0,1,1,2,2017,HOU
8981,4529,SH-0400,3,0,0,0,3,1,10,2017,BUF
8982,4529,CC-1150,0,0,1,1,9,1,4,2017,NYJ
8983,4530,GT-0150,2,1,1,2,19,1,6,2017,OAK
8984,4530,RS-3400,1,2,0,1,12,1,9,2017,TEN
8985,4531,CS-4250,1,1,1,1,13,1,5,2017,PHI
8986,4531,DH-3970,2,1,0,0,5,1,5,2017,WAS
8987,4532,CB-2275,3,0,0,0,3,1,4,2017,PIT
8988,4532,ZG-0050,1,1,0,0,4,1,1,2017,CLE
8989,4533,GZ-2000,5,1,1,1,17,1,6,2017,LA
8990,4533,AV-0400,0,1,0,0,3,1,22,2017,IND
8991,4534,GG-0100,2,3,0,0,11,1,9,2017,CAR
8992,4534,RG-1500,0,0,1,0,4,1,13,2017,SF
8993,4535,BW-0350,0,2,1,0,10,1,6,2017,SEA
8994,4535,MC-3000,2,0,1,0,6,1,11,2017,GB
8995,4536,DB-0200,1,2,2,0,15,1,7,2017,DAL
8996,4536,AR-1450,0,1,0,0,3,1,2,2017,NYG
8997,4537,WL-0300,1,3,1,0,14,1,2,2017,NO
8998,4537,KF-0250,2,2,1,0,12,1,7,2017,MIN
8999,4538,BM-1650,3,1,0,0,6,1,5,2017,DEN
9000,4538,YK-0100,3,0,0,0,3,1,1,2017,LAC
9001,4539,KF-0075,1,1,1,0,8,2,2,2017,HOU
9002,4539,RB-4650,0,3,0,0,9,1,6,2017,CIN
