pid,kicker,kgro,knet,ktb,kr,kry
741566,CS-0250,64,38,0,DL-1700,26
741579,SG-0800,65,40,1,,0
741602,CS-0250,65,40,1,,0
741612,SG-0800,66,35,0,DT-0850,31
741630,SG-0800,71,42,0,DT-0850,29
741656,CS-0250,57,47,0,DL-1700,10
741658,SG-0800,65,40,1,,0
741673,CS-0250,65,40,1,,0
741691,SG-0800,66,52,0,DT-0850,14
741705,SG-0800,67,55,0,DT-0850,12
741711,CS-0250,65,40,1,,0
741736,CS-0250,65,40,1,,0
741744,CS-0250,64,51,0,DL-1700,13
741756,KR-0375,65,42,0,KW-1250,23
741766,PD-0200,68,50,0,DW-1550,18
741787,PD-0200,71,58,0,DW-1550,13
741818,MP-2100,68,45,0,KW-1250,23
741847,PD-0200,65,40,1,,0
741870,PD-0200,67,49,0,JA-0425,18
741880,MP-2100,65,40,1,,0
741900,MP-2100,65,40,1,,0
741913,MP-2100,65,40,1,,0
741916,MP-2100,65,40,1,,0
741930,PD-0200,9,9,0,,0
741934,CB-0700,60,-3,0,AR-1100,63
741946,MB-3000,62,39,0,BC-3070,23
741966,CB-0700,65,40,1,,0
741988,MB-3000,65,40,1,,0
741998,CB-0700,65,40,1,,0
742000,MB-3000,65,40,1,,0
742031,MB-3000,63,36,0,DT-1250,27
742045,MB-3000,65,40,1,,0
742057,CB-0700,65,40,1,,0
742068,MB-3000,67,47,0,DT-1250,20
742086,JT-3950,65,40,1,,0
742110,JT-3950,65,40,1,,0
742151,JT-3950,63,52,0,AE-1037,11
742156,JT-3950,65,40,1,,0
742165,RB-4650,65,40,1,,0
742195,JT-3950,65,40,1,,0
742240,KF-0075,65,40,1,,0
742250,JM-7000,65,40,1,,0
742281,JM-7000,65,40,1,,0
742313,JM-7000,65,40,1,,0
742322,JM-7000,65,40,1,,0
742325,JM-7000,65,40,1,,0
742344,KF-0075,65,40,1,,0
742357,JM-7000,65,40,1,,0
742404,JM-7000,68,40,0,TE-0350,28
742411,CC-1150,65,40,1,,0
742455,SH-0400,65,40,1,,0
742465,CC-1150,65,40,1,,0
742481,CC-1150,65,40,1,,0
742490,SH-0400,65,40,0,KR-0312,25
742513,SH-0400,65,40,1,,0
742526,CC-1150,68,45,0,BT-0300,23
742537,SH-0400,68,48,0,KR-0312,20
742573,RS-3400,15,15,0,,0
742579,GT-0150,65,40,1,,0
