uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94234,4524,DL-1700,0,0,0,0,0,2,1,9,0,0,0,0,0,3,49,0,0,0,0,6,0.9,0.9,0.9,11,7,2017,NE,RB,33,1,2495469
94235,4524,TB-2300,36,16,267,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,81,10.68,10.68,10.68,16,18,2017,NE,QB,12,1,2504211
94236,4524,DA-0850,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,0,15,6,2017,NE,TE,83,2,2533046
94237,4524,RB-4670,0,0,0,0,0,3,1,15,0,3,1,8,0,0,0,0,0,0,0,10,2.3,2.8,3.3,12,5,2017,NE,RB,34,2,2539265
94238,4524,JW-2550,0,0,0,0,0,10,7,38,0,5,3,30,0,0,0,0,0,0,0,43,6.8,8.3,9.8,20,4,2017,NE,RB,28,1,2543773
94239,4524,BC-2325,0,0,0,0,0,0,0,0,0,7,3,88,0,0,0,0,0,0,0,67,8.8,10.3,11.8,17,4,2017,NE,LWR,14,1,2543498
94240,4524,DA-0900,0,0,0,0,0,0,0,0,0,7,6,100,0,4,8,0,0,0,0,32,10,13,19,16,10,2017,NE,RWR,80,2,2649
94241,4524,RG-2200,0,0,0,0,0,0,0,0,0,6,2,33,0,0,0,0,0,0,0,78,3.3,4.3,5.3,9,8,2017,NE,TE,87,1,497240
94242,4524,MG-0650,0,0,0,0,0,15,7,45,3,0,0,0,0,0,0,0,0,0,0,24,22.5,22.5,22.5,16,5,2017,NE,RB,35,2,2539663
94243,4524,KH-2850,0,0,0,0,0,17,10,148,1,5,5,98,2,0,0,0,1,0,0,38,40.6,43.1,49.6,1,1,2017,KC,RB,27,1,2557917
94244,4524,TK-0150,0,0,0,0,0,1,1,4,0,7,5,40,0,0,0,0,0,10,0,67,4.4,6.9,9.4,18,5,2017,KC,TE,87,1,2540258
94245,4524,AS-1600,35,28,368,0,4,5,1,3,0,0,0,0,0,0,0,0,0,5,0,68,31.02,31.02,34.02,17,13,2017,KC,QB,11,1,2506340
94246,4524,TH-1750,0,0,0,0,0,2,0,5,0,8,7,133,1,2,7,0,0,0,0,50,19.8,23.3,29.8,18,2,2017,KC,LWR,10,1,2556214
94247,4524,DH-1450,0,0,0,0,0,0,0,0,0,2,2,15,1,0,0,0,0,0,0,25,7.5,8.5,9.5,18,5,2017,KC,TE,84,2,2541187
94248,4524,AW-1650,0,0,0,0,0,0,0,0,0,5,5,37,0,0,0,0,0,0,0,39,3.7,6.2,8.7,18,4,2017,KC,LWR,12,2,2550272
94249,4524,CC-3950,0,0,0,0,0,0,0,0,0,4,2,43,0,0,0,0,0,0,0,64,4.3,5.3,6.3,18,3,2017,KC,RWR,17,1,2552652
94250,4524,CH-3350,0,0,0,0,0,3,2,17,0,5,1,8,0,0,0,0,0,0,0,73,2.5,3,3.5,19,7,2017,NE,LWR,15,2,2530515
94251,4524,DT-0850,0,0,0,0,0,1,0,4,0,1,1,-2,0,6,89,0,0,15,0,8,0.2,0.7,1.2,13,4,2017,KC,RWR,13,2,2543638
94252,4524,RT-1550,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,7,3,2017,KC,TE,88,3,2554630
94253,4524,CW-1450,0,0,0,0,0,1,1,21,1,1,1,4,0,0,0,0,0,0,0,23,8.5,9,9.5,17,4,2017,KC,RB,35,2,2550268
