pid,psr,trg,loc,yds,comp,succ,spk,dfb
741567,TB-2300,DA-0850,DL,0,0,0,0,
741568,TB-2300,RB-4670,SR,8,1,1,0,
741571,TB-2300,BC-2325,DL,19,1,1,0,
741573,TB-2300,DA-0900,SL,16,1,1,0,
741576,TB-2300,RG-2200,SR,0,0,0,0,
741581,TB-2300,RG-2200,DL,0,0,0,0,
741582,TB-2300,JW-2550,SL,3,1,0,0,
741584,TB-2300,RG-2200,DL,0,0,0,0,
741587,TB-2300,DA-0900,SM,5,1,0,0,
741591,AS-1600,TH-1750,SL,14,1,1,0,
741592,AS-1600,DH-1450,SL,8,1,1,0,
741593,AS-1600,KH-2850,SL,5,1,1,0,
741595,AS-1600,AW-1650,SM,3,1,1,0,
741596,AS-1600,TH-1750,SM,11,1,1,0,
741597,AS-1600,CC-3950,SR,18,1,1,0,
741598,AS-1600,,NL,0,0,0,0,
741600,AS-1600,DH-1450,SR,7,1,1,0,
741604,TB-2300,DA-0900,DM,27,1,1,0,
741605,TB-2300,BC-2325,SM,15,1,1,0,
741608,TB-2300,RB-4670,SR,0,0,0,0,DJ-1600
741613,AS-1600,RT-1550,DR,0,0,0,0,DM-1300
741619,TB-2300,DA-0900,SL,22,1,1,0,
741620,TB-2300,RB-4670,DL,0,0,0,0,
741622,TB-2300,RG-2200,SR,16,1,1,0,
741638,TB-2300,CH-3350,DR,0,0,0,0,
741639,TB-2300,BC-2325,SL,0,0,0,0,
741643,AS-1600,AW-1650,SM,9,1,1,0,
741644,AS-1600,TK-0150,SL,14,1,1,0,
741645,AS-1600,AW-1650,SR,13,1,1,0,
741647,AS-1600,CC-3950,DR,0,0,0,0,
741648,AS-1600,TH-1750,SM,12,1,1,0,
741649,AS-1600,CW-1450,SR,4,1,1,0,
741650,AS-1600,AW-1650,SR,1,1,0,0,
741651,AS-1600,TH-1750,SR,8,1,1,0,
741653,AS-1600,DT-0850,SR,-2,1,0,0,
741654,AS-1600,KH-2850,SL,3,1,1,0,
741661,AS-1600,TK-0150,SM,7,1,0,0,
741662,AS-1600,KH-2850,SR,8,1,1,0,
741663,AS-1600,TH-1750,SR,4,1,0,0,
741665,TB-2300,DA-0850,DL,0,0,0,0,
741666,TB-2300,DA-0900,SL,8,1,1,0,
741669,TB-2300,CH-3350,DL,0,0,0,0,
741671,AS-1600,TH-1750,DR,75,1,1,0,
741674,TB-2300,CH-3350,DR,0,0,0,0,
741676,TB-2300,RG-2200,SL,17,1,1,0,
741677,TB-2300,JW-2550,SM,0,0,0,0,
741679,TB-2300,DA-0900,SR,0,0,0,0,
741682,AS-1600,TK-0150,DL,0,0,0,0,DM-1300
