gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
4524,741566,"C.Santos kicks 64 yards from KC 35 to NE 1. D.Lewis to NE 27 for 26 yards (K.Pierre-Louis, D.Harris).",NE,KC,KOFF,0,5,1,15,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS-0250,64,38,,DL-1700,26
4524,741567,(14:55) T.Brady pass incomplete deep left to D.Allen.,NE,KC,PASS,1,6,1,14,55,0,0,3,3,1,10,27,2,,,,,,,,,,,,TB-2300,,,DL,DA-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741568,(14:49) T.Brady pass short right to R.Burkhead pushed ob at NE 35 for 8 yards (R.Parker).,NE,KC,PASS,2,35,1,14,49,0,0,3,3,2,10,27,2,8,Y,,,,,,,,,,TB-2300,Y,,SR,RB-4670,,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741569,"(14:14) (Shotgun) J.White left guard to NE 43 for 8 yards (R.Parker, D.Johnson).",NE,KC,RUSH,3,22,1,14,14,0,0,3,3,3,2,35,2,8,Y,Y,Y,,,JW-2550,,LG,DJ-1600,RP-0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741570,"(13:52) (No Huddle, Shotgun) J.White up the middle to NE 46 for 3 yards (E.Berry).",NE,KC,RUSH,4,26,1,13,52,0,0,3,3,1,10,43,3,3,,,Y,Y,,JW-2550,,MD,EB-0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741571,"(13:26) (No Huddle, Shotgun) T.Brady pass deep left to B.Cooks pushed ob at KC 35 for 19 yards (P.Gaines).",NE,KC,PASS,5,24,1,13,26,0,0,3,3,2,7,46,3,19,Y,Y,Y,Y,,,,,,,TB-2300,Y,,DL,BC-2325,,PG-0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741572,"(13:02) (No Huddle) J.White left tackle to KC 30 for 5 yards (D.Ford, D.Johnson).",NE,KC,RUSH,6,27,1,13,2,0,0,3,3,1,10,65,4,5,Y,,,Y,,JW-2550,,LT,DJ-1600,DF-1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741573,"(12:35) (No Huddle, Shotgun) T.Brady pass short left to D.Amendola pushed ob at KC 14 for 16 yards (P.Gaines).",NE,KC,PASS,7,11,1,12,35,0,0,3,3,2,5,70,4,16,Y,Y,Y,Y,,,,,,,TB-2300,Y,,SL,DA-0900,,PG-0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741574,"(12:24) (No Huddle) T.Brady pass incomplete short left to B.Cooks. PENALTY on KC-T.Mitchell, Defensive Pass Interference, 12 yards, enforced at KC 14 - No Play.",NE,KC,NOPL,7,3,1,12,24,0,0,3,3,1,10,86,5,,,Y,,,,,,,,,,,,,,,,,,,KC,TM-2850,Defensive Pass Interference,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4524,741575,"(12:21) M.Gillislee right tackle for 2 yards, TOUCHDOWN NULLIFIED by Penalty. Penalty on NE-N.Solder, Offensive Holding, offsetting, enforced at KC 2 - No Play. Penalty on KC-A.Bailey, Defensive Holding, offsetting.",NE,KC,NOPL,7,4,1,12,21,0,0,3,3,1,2,98,5,,,,,,,,,,,,,,,,,,,,,,NE,NS-0500,Offensive Holding,2,,O,KC,AB-0100,Defensive Holding,5,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
