gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk
4524,741566,NE,KC,KOFF,0,5,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741567,NE,KC,PASS,1,6,1,14,55,0,0,3,3,1,10,27,2,0,0,0,0,0,0,0,0,0,0,0
4524,741568,NE,KC,PASS,2,35,1,14,49,0,0,3,3,2,10,27,2,0,0,0,0,1,0,0,0,0,0,0
4524,741569,NE,KC,RUSH,3,22,1,14,14,0,0,3,3,3,2,35,2,1,1,0,0,1,0,0,0,0,0,0
4524,741570,NE,KC,RUSH,4,26,1,13,52,0,0,3,3,1,10,43,3,0,1,1,0,1,0,0,0,0,0,0
4524,741571,NE,KC,PASS,5,24,1,13,26,0,0,3,3,2,7,46,3,1,1,1,0,1,0,0,0,0,0,0
4524,741572,NE,KC,RUSH,6,27,1,13,2,0,0,3,3,1,10,65,4,0,0,1,0,1,0,0,0,0,0,0
4524,741573,NE,KC,PASS,7,11,1,12,35,0,0,3,3,2,5,70,4,1,1,1,0,1,0,0,0,0,0,0
4524,741574,NE,KC,NOPL,7,3,1,12,24,0,0,3,3,1,10,86,5,1,0,0,0,0,0,1,0,0,0,0
4524,741575,NE,KC,NOPL,7,4,1,12,21,0,0,3,3,1,2,98,5,0,0,0,0,0,0,1,0,0,0,0
4524,741576,NE,KC,PASS,8,5,1,12,17,0,0,3,3,1,2,98,5,0,0,0,0,0,0,0,0,0,0,0
4524,741577,NE,KC,RUSH,9,4,1,12,12,0,0,3,3,2,2,98,5,1,0,0,7,0,0,0,0,0,0,0
4524,741578,NE,KC,FGXP,9,3,1,12,8,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741579,KC,NE,KOFF,0,6,1,12,8,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741580,KC,NE,RUSH,1,35,1,12,8,0,7,3,3,1,10,25,2,1,1,0,0,1,0,0,0,1,0,0
4524,741581,NE,KC,PASS,1,5,1,12,0,7,0,3,3,1,10,68,4,0,1,0,0,0,0,0,0,0,0,0
4524,741582,NE,KC,PASS,2,34,1,11,55,7,0,3,3,2,10,68,4,0,1,0,0,1,0,0,0,0,0,0
4524,741583,NE,KC,RUSH,3,43,1,11,21,7,0,3,3,3,7,71,4,1,1,0,0,1,0,0,0,0,0,0
4524,741584,NE,KC,PASS,4,4,1,10,38,7,0,3,3,1,10,81,5,0,1,0,0,0,0,0,0,0,0,0
4524,741585,NE,KC,RUSH,5,41,1,10,34,7,0,3,3,2,10,81,5,0,0,0,0,1,0,0,0,0,0,0
4524,741586,NE,KC,NOPL,5,4,1,9,53,7,0,3,3,3,11,80,5,0,0,0,0,0,0,1,0,0,0,0
4524,741587,NE,KC,PASS,6,15,1,9,49,7,0,3,3,3,6,85,5,0,1,0,0,1,0,0,0,0,0,0
4524,741588,NE,KC,RUSH,7,9,1,9,34,7,0,3,3,4,1,90,5,0,0,0,0,1,0,0,0,0,0,0
4524,741589,KC,NE,RUSH,1,37,1,9,25,0,7,3,3,1,10,10,1,0,0,0,0,1,0,0,0,0,0,0
4524,741590,KC,NE,RUSH,2,43,1,8,48,0,7,3,3,2,1,19,1,1,1,0,0,1,0,0,0,0,0,0
4524,741591,KC,NE,PASS,3,27,1,8,5,0,7,3,3,1,10,23,2,1,1,0,0,0,0,0,0,0,0,0
4524,741592,KC,NE,PASS,4,33,1,7,38,0,7,3,3,1,10,37,2,0,1,0,0,1,0,0,0,0,0,0
4524,741593,KC,NE,PASS,5,31,1,7,5,0,7,3,3,2,2,45,3,1,1,0,0,1,0,0,0,0,0,0
4524,741594,KC,NE,RUSH,6,43,1,6,34,0,7,3,3,1,10,50,3,0,1,0,0,1,0,0,0,0,0,0
4524,741595,KC,NE,PASS,7,38,1,5,51,0,7,3,3,2,1,59,3,1,1,0,0,1,0,0,0,0,0,0
4524,741596,KC,NE,PASS,8,42,1,5,13,0,7,3,3,1,10,62,4,1,1,0,0,1,0,0,0,0,0,0
4524,741597,KC,NE,PASS,9,35,1,4,31,0,7,3,3,1,10,73,4,1,1,0,0,1,0,0,0,0,0,0
4524,741598,KC,NE,PASS,10,9,1,3,56,0,7,3,3,1,9,91,5,0,1,0,0,0,0,0,0,0,0,0
4524,741599,KC,NE,RUSH,11,37,1,3,47,0,7,3,3,2,9,91,5,0,0,0,0,1,0,0,0,0,0,0
4524,741600,KC,NE,PASS,12,7,1,3,10,0,7,3,3,3,7,93,5,1,1,0,7,0,0,0,0,0,0,0
4524,741601,KC,NE,FGXP,12,3,1,3,3,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741602,NE,KC,KOFF,0,6,1,3,3,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741603,NE,KC,RUSH,1,35,1,3,3,7,7,3,3,1,10,25,2,0,1,0,0,1,0,0,0,0,0,0
4524,741604,NE,KC,PASS,2,27,1,2,32,7,7,3,3,2,7,28,2,1,1,0,0,1,0,0,0,0,0,0
4524,741605,NE,KC,PASS,3,29,1,2,5,7,7,3,3,1,10,55,3,1,0,1,0,0,0,0,0,0,0,0
4524,741606,NE,KC,RUSH,4,26,1,1,36,7,7,3,3,1,10,70,4,1,0,0,0,1,0,0,0,0,0,0
4524,741607,NE,KC,NOPL,4,28,1,1,10,7,7,3,3,1,10,83,5,0,0,0,0,0,0,1,0,0,0,0
4524,741608,NE,KC,PASS,5,5,1,0,42,7,7,3,3,1,5,88,5,0,1,0,0,0,0,0,0,0,0,0
4524,741609,NE,KC,RUSH,6,14,1,0,37,7,7,3,3,2,5,88,5,0,0,0,0,1,0,0,0,0,0,0
4524,741610,NE,KC,RUSH,7,35,1,0,23,7,7,3,3,3,1,92,5,0,1,1,0,1,0,0,0,0,0,0
4524,741611,NE,KC,FGXP,8,4,2,15,0,7,7,3,3,4,1,92,5,0,0,0,3,0,0,0,0,0,0,0
4524,741612,KC,NE,KOFF,0,5,2,14,56,7,10,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4524,741613,KC,NE,PASS,1,7,2,14,51,7,10,3,3,1,10,45,3,0,0,0,0,0,0,0,0,0,0,0
4524,741614,KC,NE,RUSH,2,37,2,14,44,7,10,3,3,2,10,45,3,0,1,0,0,1,0,0,0,0,0,0
4524,741615,KC,NE,PASS,3,45,2,14,7,7,10,3,3,3,6,49,3,0,1,0,0,0,1,0,0,0,0,0
4524,741616,NE,KC,PUNT,0,5,2,13,22,10,7,3,3,4,9,46,3,0,0,0,0,0,0,0,0,0,0,0
4524,741617,NE,KC,RUSH,1,28,2,13,17,10,7,3,3,1,10,18,1,0,0,0,0,1,0,0,0,0,0,0
4524,741618,NE,KC,RUSH,2,40,2,12,49,10,7,3,3,2,6,22,2,0,0,0,0,1,0,0,0,0,0,0
4524,741619,NE,KC,PASS,3,38,2,12,9,10,7,3,3,3,2,26,2,1,1,0,0,1,0,0,0,0,0,0
4524,741620,NE,KC,PASS,4,8,2,11,31,10,7,3,3,1,10,48,3,0,1,0,0,0,0,0,0,0,0,0
4524,741621,NE,KC,RUSH,5,39,2,11,23,10,7,3,3,2,10,48,3,0,0,0,0,1,0,0,0,0,0,0
4524,741622,NE,KC,PASS,6,47,2,10,44,10,7,3,3,3,10,48,3,1,1,0,0,1,0,0,0,0,0,0
4524,741623,NE,KC,RUSH,7,40,2,9,57,10,7,3,3,1,10,64,4,1,0,0,0,1,0,0,0,0,0,0
4524,741624,NE,KC,RUSH,8,39,2,9,17,10,7,3,3,1,10,80,5,0,0,0,0,1,0,0,0,0,0,0
4524,741625,NE,KC,RUSH,9,23,2,8,38,10,7,3,3,2,1,89,5,1,0,0,0,1,0,0,0,0,0,0
4524,741626,NE,KC,RUSH,10,33,2,8,15,10,7,3,3,1,7,93,5,0,0,0,0,1,0,0,0,0,0,0
4524,741627,NE,KC,NOPL,10,11,2,7,42,10,7,3,3,2,5,95,5,0,0,0,0,0,0,1,0,0,0,0
4524,741628,NE,KC,RUSH,11,4,2,7,31,10,7,3,3,1,2,98,5,1,0,0,7,0,0,0,0,0,0,0
4524,741629,NE,KC,FGXP,11,3,2,7,27,17,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741630,KC,NE,KOFF,0,6,2,7,27,7,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741631,KC,NE,RUSH,1,35,2,7,22,7,17,3,3,1,10,23,2,0,1,0,0,1,0,0,0,0,0,0
4524,741632,KC,NE,RUSH,2,36,2,6,47,7,17,3,3,2,7,26,2,1,1,0,0,1,0,0,0,0,0,0
4524,741633,KC,NE,RUSH,3,42,2,6,11,7,17,3,3,1,10,36,2,0,0,0,0,1,0,0,0,0,0,0
4524,741634,KC,NE,RUSH,4,44,2,5,29,7,17,3,3,2,9,37,2,0,1,0,0,1,0,0,0,0,0,0
4524,741635,KC,NE,PASS,5,48,2,4,45,7,17,3,3,3,5,41,3,0,1,0,0,0,1,0,0,0,0,0
4524,741636,NE,KC,PUNT,0,13,2,3,57,17,7,3,3,4,17,29,2,0,0,0,0,0,0,1,0,0,0,0
4524,741637,NE,KC,RUSH,1,38,2,3,44,17,7,3,3,1,10,40,2,0,1,0,0,1,0,0,0,0,0,0
4524,741638,NE,KC,PASS,2,7,2,3,6,17,7,3,3,2,6,44,3,0,1,0,0,0,0,0,0,0,0,0
4524,741639,NE,KC,PASS,3,4,2,2,59,17,7,3,3,3,6,44,3,0,1,0,0,0,0,0,0,0,0,0
4524,741640,KC,NE,PUNT,0,8,2,2,55,7,17,3,3,4,6,44,3,0,0,0,0,0,0,1,0,0,0,0
4524,741641,KC,NE,NOPL,0,18,2,2,47,7,17,3,3,1,10,8,1,0,0,0,0,0,0,1,0,0,0,0
4524,741642,KC,NE,RUSH,1,22,2,2,29,7,17,3,3,1,14,4,1,0,1,0,0,1,0,0,0,0,0,0
4524,741643,KC,NE,PASS,2,7,2,2,7,7,17,3,2,2,7,11,1,1,1,0,0,1,0,0,0,0,0,0
4524,741644,KC,NE,PASS,3,27,2,2,0,7,17,3,2,1,10,20,1,1,1,0,0,1,0,0,0,0,0,0
4524,741645,KC,NE,PASS,4,3,2,1,33,7,17,3,2,1,10,34,2,1,1,1,0,1,0,0,0,0,0,0
4524,741646,KC,NE,RUSH,5,29,2,1,30,7,17,3,2,1,10,47,3,0,1,0,0,1,0,0,0,0,0,0
4524,741647,KC,NE,PASS,6,4,2,1,1,7,17,3,2,2,3,54,3,0,1,1,0,0,0,0,0,0,0,0
4524,741648,KC,NE,PASS,7,8,2,0,57,7,17,3,2,3,3,54,3,1,1,0,0,1,0,0,0,0,0,0
4524,741649,KC,NE,PASS,8,4,2,0,49,7,17,2,2,1,10,66,4,0,1,0,0,1,0,0,0,0,0,0
4524,741650,KC,NE,PASS,9,8,2,0,45,7,17,2,2,2,6,70,4,0,1,0,0,1,0,0,0,0,0,0
4524,741651,KC,NE,PASS,10,9,2,0,37,7,17,2,2,3,5,71,4,1,1,0,0,0,0,0,0,0,0,0
4524,741652,KC,NE,NOPL,10,5,2,0,28,7,17,2,2,1,10,79,4,1,0,0,0,0,0,1,0,0,0,0
4524,741653,KC,NE,PASS,11,6,2,0,23,7,17,2,2,1,1,99,5,0,1,0,0,1,0,0,0,0,0,0
4524,741654,KC,NE,PASS,12,4,2,0,17,7,17,1,2,2,3,97,5,1,1,0,7,0,0,0,0,0,0,0
4524,741655,KC,NE,FGXP,12,3,2,0,13,14,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741656,NE,KC,KOFF,0,6,2,0,13,17,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741657,NE,KC,RUSH,1,25,2,0,8,17,14,2,1,1,10,18,1,0,0,0,0,0,0,0,0,0,0,0
4524,741658,KC,NE,KOFF,0,6,3,15,0,14,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4524,741659,KC,NE,RUSH,1,35,3,15,0,14,17,3,3,1,10,25,2,1,0,0,0,1,0,0,0,0,0,0
4524,741660,KC,NE,NOPL,1,26,3,14,23,14,17,3,3,1,10,35,2,0,0,0,0,0,0,1,0,0,0,0
4524,741661,KC,NE,PASS,2,36,3,13,57,14,17,3,3,1,20,25,2,0,1,0,0,1,0,0,0,0,0,0
4524,741662,KC,NE,PASS,3,47,3,13,21,14,17,3,3,2,13,32,2,0,0,0,0,1,0,0,0,0,0,0
4524,741663,KC,NE,PASS,4,35,3,12,34,14,17,3,3,3,5,40,2,0,1,0,0,1,0,0,0,0,0,0
