"Note: This is a sample of the player file and includes only 1,500 players. The full version is over 10,000.",,,,,,,,,,,,,,,,,,,,,,,,,,
player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp,nflid,pimg
AA-0025,Ameer,Abdullah,A.Abdullah,RB,,69,205,6/13/1993,4.5,24,42.5,130,3.95,6.79,30,8.625,54,Nebraska,Big Ten,2015,DET,RB,21,1,2552374,ABD647726.png
AA-0050,Aaron,Adams,A.Adams,OL,,77,305,5/16/1989,5.26,22,28.5,101,4.61,7.61,0,0,0,Eastern Kentucky,Ohio Valley,2013,INA,INA,0,0,2541574,ADA099119.png
AA-0075,Andrew,Adams,A.Adams,DB,,71,203,10/28/1992,4.54,24,33,118,4.32,6.96,0,0,0,Connecticut,American Athletic,2016,NYG,FS,33,2,2556456,ADA104253.png
AA-0100,Anthony,Adams,A.Adams,DL,,72,300,6/18/1980,5.13,0,30.5,109,4.59,7.68,0,0,57,Penn State,Big Ten,2003,INA,INA,0,0,2505588,ADA106417.png
AA-0200,Al,Afalava,A.Afalava,DB,,71,212,1/20/1987,4.48,25,40,125,4.07,6.6,0,0,190,Oregon State,Pacific 10,2009,INA,INA,0,0,89682,AFA385627.png
AA-0300,Anthony,Alabi,A.Alabi,OL,,77,315,2/16/1981,5.12,18,32.5,105,4.6,7.64,0,0,162,Texas Christian,Mountain West (MWC),2006,INA,INA,0,0,2506497,ALA088990.png
AA-0400,Alex,Albright,A.Albright,LB,,77,260,1/29/1988,4.86,22,36,124,4.03,6.98,0,0,0,Boston College,Atlantic Coast (ACC),2011,INA,INA,0,0,2530939,ALB613185.png
AA-0500,Allen,Aldridge,A.Aldridge,LB,,73,254,5/30/1972,0,0,0,0,0,0,0,0,51,Houston,Southwest,1994,INA,INA,0,0,2499377,ALD410038.png
AA-0525,Alvester,Alexander,A.Alexander,RB,,70,206,10/17/1990,4.45,18,36,128,4.21,6.89,0,0,0,Wyoming,Mountain West (MWC),2012,INA,INA,0,0,2534844,ALE071678.png
AA-0543,Adrian,Amos,A.Amos,DB,,72,218,4/29/1993,4.39,21,35.5,122,4.03,7.09,32.25,9.111,142,Penn State,Big Ten,2015,CHI,FS,38,1,2552385,AMO568523.png
AA-0552,Alex,Anzalone,A.Anzalone,LB,,75,241,9/22/1994,4.63,16,30.5,115,0,0,32.125,9.125,76,Florida,Southeastern (SEC),2017,NO,WLB,47,1,2558163,ANZ059326.png
AA-0554,Austin,Appleby,A.Appleby,QB,,76,240,6/4/1993,4.86,0,30,113,4.4,7.13,0,0,0,Florida,Southeastern (SEC),2017,INA,INA,0,0,2559133,APP258324.png
AA-0557,Alex,Armah,A.Armah,DL,,74,253,5/17/1994,4.7,26,34.5,122,4.29,7,0,0,192,West Georgia,,2017,CAR,RB,40,5,2558833,ARM000892.png
AA-0562,Arik,Armstead,A.Armstead,DL,,79,292,11/15/1993,5.06,24,34,117,4.53,7.57,33,10.5,17,Oregon,Pacific 12,2015,SF,LDE,91,1,2552493,ARM057964.png
AA-0581,Antony,Auclair,A.Auclair,TE,,78,256,5/28/1993,4.9,22,33.5,117,4.37,7.3,0,0,0,Laval,,2017,TB,TE,82,3,2559044,AUC385627.png
AA-0600,Abdul-Karim,al-Jabbar,A.al-Jabbar,RB,,70,194,6/28/1974,0,22,33.5,0,0,0,0,0,80,UCLA,Pacific 10,1996,INA,INA,0,0,2499348,ALJ059326.png
AA-0700,Andy,Alleman,A.Alleman,OL,,76,310,11/20/1983,5.07,30,30,106,4.38,7.43,0,0,88,Akron,Mid-American (MAC),2008,INA,INA,0,0,2495531,ALL044677.png
AA-0800,Anthony,Allen,A.Allen,RB,,73,223,8/6/1988,4.56,24,41.5,120,4.06,6.79,30.375,9.625,225,Georgia Tech,Atlantic Coast (ACC),2011,INA,INA,0,0,2508138,ALL055530.png
AA-0850,Antonio,Allen,A.Allen,LB,DB,74,202,9/23/1988,4.58,17,34,118,4.25,7.02,0,0,0,South Carolina,Southeastern (SEC),2012,INA,INA,0,0,2532786,ALL057341.png
AA-0900,Armando,Allen,A.Allen,RB,,68,190,4/30/1989,4.6,23,31.5,120,4.12,7.1,0,0,0,Notre Dame,FBS Independents,2011,INA,INA,0,0,2495257,ALL059152.png
AA-1000,Asher,Allen,A.Allen,DB,,70,190,1/22/1988,4.48,22,35,115,4.3,6.93,0,0,86,Georgia,Southeastern (SEC),2009,INA,INA,0,0,80626,ALL060962.png
AA-1100,Aundrae,Allison,A.Allison,WR,,72,198,4/20/1986,4.39,0,37,127,4.25,6.81,0,0,146,East Carolina,Conference USA (C-USA),2007,INA,INA,0,0,2495532,ALL709826.png
AA-1200,Ashley,Ambrose,A.Ambrose,DB,,71,190,9/17/1970,0,0,0,0,0,0,0,0,29,Mississippi Valley State,Southwestern Athletic (SWAC),1992,INA,INA,0,0,2499412,AMB266360.png
AA-1300,Andre',Anderson,A.Anderson,RB,,71,205,5/1/1988,4.58,17,39,123,4.12,6.92,0,0,0,Tulane,Conference USA (C-USA),2010,INA,INA,0,0,2508094,AND045205.png
AA-1350,Antonio,Andrews,A.Andrews,RB,,70,225,10/15/1992,4.72,20,30,108,4.35,7.17,31.25,9.5,0,Western Kentucky,Sun Belt,2014,INA,INA,0,0,2550474,AND650999.png
AA-1400,Antwan,Applewhite,A.Applewhite,DL,LB,75,246,12/31/1985,4.73,25,35,115,4.36,7.5,0,0,0,San Diego State,Mountain West (MWC),2008,INA,INA,0,0,2495535,APP629310.png
AA-1500,Adam,Archuleta,A.Archuleta,DB,LB,72,223,11/27/1977,4.46,31,0,0,0,0,0,0,20,Arizona State,Pacific 10,2001,INA,INA,0,0,2504769,ARC705650.png
AA-1550,Armond,Armstead,A.Armstead,DL,,76,290,8/3/1990,5.08,0,0,0,0,0,0,0,0,USC,Pacific 12,2012,INA,INA,0,0,2540324,ARM066214.png
AA-1600,Anthony,Armstrong,A.Armstrong,WR,,71,183,3/29/1983,4.38,0,0,0,0,0,0,0,0,West Texas A&M,,2010,INA,INA,0,0,2507539,ARM101839.png
AA-1700,Adrian,Arrington,A.Arrington,WR,,75,192,11/7/1985,4.55,36,0,0,0,0,0,0,0,Michigan,Big Ten,2010,INA,INA,0,0,1058,ARR162645.png
AA-1800,Adrian,Awasom,A.Awasom,DL,,77,275,10/25/1983,4.93,23,33,107,4.4,7.57,0,0,0,North Texas,Sun Belt,2005,INA,INA,0,0,2506152,AWA609094.png
AA-1900,Akeem,Ayers,A.Ayers,LB,,74,254,7/10/1989,4.81,22,34.5,116,4.28,7.19,0,0,39,UCLA,Pacific 10,2011,INA,INA,0,0,2495491,AYE264861.png
AA-2000,Akin,Ayodele,A.Ayodele,LB,,74,251,9/17/1979,4.81,26,35,121,4.12,7,0,0,89,Purdue,Big Ten,2002,INA,INA,0,0,2505084,AYO148317.png
AB-0050,Aaron,Bailey,A.Bailey,QB,,73,230,,4.5,0,34,119,4.35,6.85,0,0,0,Northern Iowa,Missouri Valley,2017,INA,INA,0,0,2559316,BAI020212.png
AB-0100,Allen,Bailey,A.Bailey,DL,,75,288,3/25/1989,4.71,27,36.5,117,4.56,7.43,34,10.25,86,Miami (FL),Atlantic Coast (ACC),2011,KC,RDE,97,1,2495116,BAI026169.png
AB-0120,Alvin,Bailey,A.Bailey,OL,,75,320,8/26/1991,4.9,27,0,0,4.69,7.5,0,0,0,Arkansas,Southeastern (SEC),2013,INA,INA,0,0,2540182,BAI026872.png
AB-0160,Alex,Balducci,A.Balducci,OL,DL,76,301,3/1/1994,5.01,25,33,113,4.63,7.55,0,0,0,Oregon,Pacific 12,2016,WAS,PS,60,4,2556465,BAL241701.png
AB-0200,Alan,Ball,A.Ball,DB,,74,195,3/29/1985,4.52,11,36,124,4.18,6.75,0,0,237,Illinois,Big Ten,2007,INA,INA,0,0,2507253,BAL451070.png
AB-0300,Antonio,Banks,A.Banks,DB,,70,203,3/12/1973,0,0,0,0,0,0,0,0,113,Virginia Tech,Big East,1998,INA,INA,0,0,2499516,BAN409290.png
AB-0400,Alex,Bannister,A.Bannister,WR,,77,207,4/23/1979,4.47,0,30.5,110,0,0,0,0,140,Eastern Kentucky,Ohio Valley,2001,INA,INA,0,0,2504617,BAN706336.png
AB-0500,Allen,Barbre,A.Barbre,OL,,76,305,6/22/1984,4.84,28,32,105,4.63,7.4,0,0,119,Missouri Southern,,2007,DEN,LG,73,2,2495542,BAR112460.png
AB-0550,Adairius,Barnes,A.Barnes,DB,,71,187,4/30/1994,4.55,14,41.5,126,4.08,6.82,0,0,0,Louisiana Tech,Conference USA (C-USA),2016,DET,PS,38,2,2556467,BAR236816.png
