pid,punter,pgro,pnet,ptb,pr,pry,pfc
741616,DC-3200,36,36,0,DA-0900,0,1
741636,DC-3200,46,46,0,,0,0
741640,RA-0850,39,39,0,DT-0850,0,0
741664,DC-3200,39,39,0,DA-0900,0,1
741670,RA-0850,35,35,0,TH-1750,0,0
741680,RA-0850,35,35,0,,0,0
741684,DC-3200,39,39,0,DA-0900,0,1
741697,DC-3200,59,51,0,DA-0900,8,0
741721,DC-3200,43,43,0,PC-0300,0,1
741727,RA-0850,38,31,0,TH-1750,7,0
741740,RA-0850,54,51,0,DT-0850,3,0
741748,RA-0850,41,41,0,,0,0
741770,KR-0375,50,50,0,KW-1250,0,0
741774,AL-0500,41,30,0,JA-0425,11,0
741798,MP-2100,32,32,0,KW-1250,0,1
741822,AL-0500,42,42,0,,0,0
741826,MP-2100,30,30,0,,0,0
741854,MP-2100,47,47,0,,0,0
741875,MP-2100,30,30,0,KW-1250,0,1
741888,AL-0500,57,33,0,JA-0425,24,0
741906,AL-0500,44,31,0,JA-0425,13,0
741951,PO-0050,52,37,0,AR-1100,15,0
741955,MB-3000,57,43,0,TC-1975,14,0
741970,MB-3000,62,48,0,TC-1975,14,0
741974,PO-0050,59,50,0,AR-1100,9,0
742007,PO-0050,69,44,1,,0,0
742011,MB-3000,59,42,0,TC-1975,17,0
742015,PO-0050,35,35,0,AR-1100,0,1
742040,PO-0050,29,29,0,,0,0
742093,KH-2600,36,36,0,MC-0150,0,0
742121,SK-0600,40,40,0,AE-1037,0,1
742137,SK-0600,52,40,0,AE-1037,12,0
742142,KH-2600,35,35,0,,0,0
742160,KH-2600,53,38,0,MC-0150,15,0
742199,KH-2600,53,39,0,MC-0150,14,0
742205,SK-0600,47,46,0,AE-1037,1,0
742212,KH-2600,35,35,0,MC-0150,0,1
742217,SK-0600,39,39,0,,0,0
742229,SK-0600,36,35,0,AE-1037,1,0
742237,SK-0600,36,36,0,AE-1037,0,1
742254,SL-0400,43,43,0,ML-0650,0,1
742258,BN-0700,57,32,1,,0,0
742268,SL-0400,35,35,0,ML-0650,0,1
742286,SL-0400,54,47,0,ML-0650,7,0
742291,BN-0700,35,35,0,TE-0350,0,1
742295,SL-0400,51,51,0,ML-0650,0,1
742299,BN-0700,61,40,0,TE-0350,21,0
742384,SL-0400,33,33,0,,0,0
742388,BN-0700,34,34,0,,0,0
742430,LE-0025,54,47,0,BT-0300,7,0
742436,CS-0850,40,40,0,KR-0312,0,1
742441,LE-0025,58,46,0,BT-0300,12,0
742488,CS-0850,52,27,1,,0,0
742497,LE-0025,29,29,0,,0,0
742501,CS-0850,43,43,0,KR-0312,0,0
742505,LE-0025,58,39,0,BT-0300,19,0
742544,LE-0025,57,57,0,,0,0
742548,CS-0850,55,30,0,KR-0312,25,0
742555,CS-0850,35,33,0,KR-0312,2,0
742560,LE-0025,41,39,0,BT-0300,2,0
742568,CS-0850,32,32,0,KR-0312,0,1
742615,BK-0700,52,52,0,JR-2075,0,0
742625,MK-0760,51,51,0,,0,0
742654,BK-0700,42,37,0,JR-2075,5,0
742658,MK-0760,59,52,0,AJ-0050,7,0
742662,BK-0700,45,45,0,JR-2075,0,1
742697,BK-0700,48,23,1,,0,0
742704,MK-0760,48,23,1,,0,0
742741,TW-1175,30,30,0,,0,0
742762,TW-1175,33,33,0,DS-3300,0,1
742766,DJ-2800,40,40,0,JC-5680,0,0
742783,TW-1175,49,49,0,,0,0
742796,DJ-2800,37,37,0,JC-5680,0,1
742854,DJ-2800,43,40,0,JC-5680,3,0
742871,DJ-2800,50,50,0,,0,0
742875,TW-1175,50,50,0,DS-3300,0,1
742899,BC-2000,-24,-24,0,,0,0
742909,BC-2000,58,47,0,ER-0462,11,0
742915,JB-3275,48,48,0,,0,0
742938,JB-3275,45,36,0,JP-1975,9,0
742943,BC-2000,46,46,0,,0,0
742949,JB-3275,39,39,0,,0,0
742954,BC-2000,26,26,0,,0,0
742959,JB-3275,59,34,0,JP-1975,25,0
742963,BC-2000,51,43,0,ER-0462,8,0
742981,JB-3275,42,42,0,JP-1975,0,0
743021,BC-2000,61,48,0,ER-0462,13,0
743029,JB-3275,42,42,0,JP-1975,0,1
743081,JH-3230,44,44,0,QB-0250,0,0
743090,JH-3230,38,38,0,,0,0
743095,RS-0150,49,41,0,TA-1050,8,0
743106,RS-0150,51,44,0,TA-1050,7,0
