uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
45897,4524,TB-2300,4,1,5,0,1,0,1,0,0,0,0,5
45898,4524,RG-2200,0,0,0,0,0,0,0,2,0,0,0,0
45899,4524,MG-0650,0,0,0,0,8,5,20,0,0,0,0,0
45900,4524,RB-4670,0,0,0,0,1,0,-1,1,0,0,0,0
45901,4524,DA-0900,0,0,0,0,0,0,0,1,1,5,0,0
45902,4524,AS-1600,6,4,19,0,0,0,0,0,0,0,0,0
45903,4524,KH-2850,0,0,0,0,2,1,6,1,1,3,0,0
45904,4524,DH-1450,0,0,0,0,0,0,0,1,1,7,0,0
45905,4524,JW-2550,0,0,0,0,6,4,12,0,0,0,0,0
45906,4524,DT-0850,0,0,0,0,0,0,0,1,1,-2,0,0
45907,4524,TK-0150,0,0,0,0,0,0,0,1,0,0,0,0
45908,4524,AW-1650,0,0,0,0,0,0,0,1,1,11,0,0
45909,4525,DJ-1325,0,0,0,0,3,0,3,1,1,2,0,0
45910,4525,CP-0500,8,4,4,0,0,0,0,0,0,0,0,0
45911,4525,LF-0200,0,0,0,0,0,0,0,3,1,5,0,0
45912,4525,JG-3700,0,0,0,0,0,0,0,2,1,-4,0,10
45913,4525,MS-4100,4,4,29,0,0,0,0,0,0,0,0,0
45914,4525,GT-0100,0,0,0,0,0,0,0,1,1,6,0,0
45915,4525,AA-0025,0,0,0,0,4,1,0,0,0,0,0,0
45916,4525,DW-1550,0,0,0,0,2,1,9,0,0,0,0,0
45917,4525,MJ-2250,0,0,0,0,0,0,0,1,1,6,0,0
45918,4525,JB-6950,0,0,0,0,0,0,0,1,0,0,0,0
45919,4525,KW-1250,0,0,0,0,1,1,3,0,0,0,0,0
45920,4525,TR-0370,0,0,0,0,0,0,0,1,1,7,0,0
45921,4525,KG-0650,0,0,0,0,0,0,0,1,1,10,0,0
45922,4525,JN-0625,0,0,0,0,0,0,0,1,1,1,0,0
45923,4526,MR-2500,2,1,4,0,1,1,13,0,0,0,0,0
45924,4526,DF-1875,0,0,0,0,2,1,11,0,0,0,0,0
45925,4526,TC-1975,0,0,0,0,1,1,5,1,1,19,0,0
45926,4526,JH-5575,0,0,0,0,2,2,10,1,0,0,0,0
45927,4526,TG-0025,0,0,0,0,0,0,0,2,1,4,0,0
