pid,bc,dir,yds,succ,kne
741569,JW-2550,LG,8,1,0
741570,JW-2550,MD,3,0,0
741572,JW-2550,LT,5,1,0
741577,MG-0650,MD,2,1,0
741580,KH-2850,RT,7,0,0
741583,JW-2550,RG,10,1,0
741585,RB-4670,LG,-1,0,0
741588,MG-0650,MD,0,0,0
741589,KH-2850,RG,9,1,0
741590,TK-0150,MD,4,1,0
741594,KH-2850,RT,9,1,0
741599,KH-2850,MD,2,0,0
741603,MG-0650,LG,3,0,0
741606,CH-3350,LE,13,1,0
741609,JW-2550,LE,4,1,0
741610,JW-2550,MD,0,0,0
741614,TH-1750,RE,4,0,0
741617,CH-3350,RE,4,1,0
741618,MG-0650,RE,4,1,0
741621,CH-3350,RE,0,0,0
741623,MG-0650,LT,16,1,0
741624,MG-0650,LE,9,1,0
741625,MG-0650,LG,4,1,0
741626,MG-0650,RT,2,0,0
741628,MG-0650,LG,2,1,0
741631,KH-2850,RE,3,0,0
741632,KH-2850,RE,10,1,0
741633,TH-1750,LG,1,0,0
741634,DT-0850,RT,4,0,0
741637,DL-1700,MD,4,1,0
741642,KH-2850,RE,7,1,0
741646,AS-1600,MD,7,1,0
741657,TB-2300,NL,-1,0,1
741659,KH-2850,MD,10,1,0
741667,MG-0650,LT,2,0,0
741668,MG-0650,RT,-4,0,0
741675,MG-0650,MD,4,0,0
741678,DL-1700,MD,5,0,0
741681,KH-2850,MD,1,0,0
741688,MG-0650,RG,0,0,0
741689,MG-0650,RG,1,1,0
741693,KH-2850,MD,1,0,0
741699,JW-2550,LT,7,1,0
741700,JW-2550,LG,4,1,0
741701,JW-2550,LT,3,1,0
741702,JW-2550,LE,-6,0,0
741703,TB-2300,RT,1,0,0
741707,KH-2850,MD,13,1,0
741716,MG-0650,MD,0,0,0
741718,AS-1600,RG,2,0,0
741722,RB-4670,MD,2,0,0
741723,RB-4670,LE,14,1,0
741729,KH-2850,RT,7,1,0
741734,KH-2850,RE,4,1,0
741741,KH-2850,LE,58,1,0
741742,CW-1450,RG,21,1,0
741749,KH-2850,RT,2,0,0
741750,KH-2850,RT,2,0,0
741752,KH-2850,MD,3,1,0
741753,AS-1600,NL,-2,0,1
741754,AS-1600,NL,-3,0,1
741755,AS-1600,NL,-1,0,1
741758,DJ-1325,MD,2,0,0
741760,DJ-1325,LE,-2,0,0
741763,AA-0025,LE,5,1,0
741767,AA-0025,RE,0,0,0
741772,DJ-1325,LT,6,1,0
741773,DJ-1325,LT,0,0,0
741778,KR-0375,MD,10,0,0
741779,DJ-1325,RT,1,0,0
741780,DJ-1325,RE,1,0,0
741784,DJ-1325,MD,1,0,0
741788,AA-0025,RT,1,0,0
741791,TR-0370,RE,-1,0,0
741795,AA-0025,LT,3,0,0
741800,DJ-1325,LT,3,0,0
741806,AA-0025,RT,5,0,0
741808,MS-4100,MD,15,1,0
741809,DW-1550,MD,5,1,0
741813,AA-0025,RT,3,1,0
741814,DW-1550,RE,6,1,0
741815,AA-0025,LT,-2,0,0
741823,AA-0025,LE,-4,0,0
741833,DJ-1325,LE,3,0,0
741848,DW-1550,RT,0,0,0
741851,AA-0025,RT,2,0,0
741855,DJ-1325,LE,3,0,0
741857,KW-1250,MD,4,1,0
741859,JB-6950,LE,10,1,0
741868,KW-1250,MD,3,1,0
741872,AA-0025,RT,2,0,0
741876,DJ-1325,LE,5,0,0
741877,DW-1550,LT,3,0,0
741882,KW-1250,LT,1,0,0
741883,KW-1250,LT,1,1,0
741885,KW-1250,MD,1,0,0
741889,GT-0100,RE,6,1,0
741894,AA-0025,RE,4,1,0
741896,AA-0025,LE,1,0,0
741897,AA-0025,RE,-2,0,0
741907,AA-0025,RT,7,1,0
741908,AA-0025,LT,5,1,0
741910,GT-0100,RE,1,0,0
741923,CP-0500,MD,2,1,0
741931,DW-1550,RT,6,1,0
741932,DW-1550,LT,2,1,0
741933,MS-4100,NL,-1,0,1
741935,DF-1875,RE,6,1,0
741939,TC-2050,LE,3,0,0
741941,DF-1875,LT,5,1,0
741943,DF-1875,RT,2,1,0
741944,TC-2050,RT,-1,0,0
741947,JH-5575,LG,1,0,0
741953,DF-1875,RT,4,0,0
741956,JH-5575,RE,11,1,0
741961,TC-1975,RE,15,1,0
741962,JH-5575,LG,2,0,0
741967,TC-2050,LG,5,1,0
741968,TC-2050,RT,0,0,0
741976,DF-1875,RT,1,0,0
741979,TC-2050,RG,1,0,0
741980,DF-1875,LG,3,1,0
741984,TC-2050,LT,7,0,0
741985,MR-2500,LG,13,1,0
741986,DF-1875,LT,5,1,0
741989,JH-5575,RE,3,0,0
741990,TC-1975,LE,46,1,0
741991,JH-5575,LG,4,1,0
741992,JH-5575,RT,2,0,0
741994,TC-1975,LE,5,1,0
741995,JH-5575,RG,6,1,0
741996,JH-5575,RE,4,1,0
741999,MR-2500,NL,-1,0,1
742002,JH-5575,LE,9,1,0
742003,MB-5175,RG,7,1,0
742004,JH-5575,RE,2,0,0
742008,DF-1875,LE,0,0,0
742012,JH-5575,LE,5,1,0
742013,JH-5575,RE,1,0,0
742018,TC-2050,LT,1,0,0
742019,DF-1875,RG,6,1,0
742022,DF-1875,RG,0,0,0
742027,DF-1875,LG,6,0,0
742032,TC-1975,LE,-3,0,0
742033,TC-1975,LE,3,0,0
742034,JH-5575,LT,2,0,0
742061,DF-1875,LE,-1,0,0
742064,TC-2050,RG,0,0,0
742085,MR-2500,NL,-1,0,1
742089,JH-4025,RT,12,1,0
742090,JH-4025,RE,1,0,0
742094,TW-1350,MD,-1,0,0
742096,TW-1350,RT,7,1,0
742098,TW-1350,LT,1,0,0
742100,JA-1025,LT,0,0,0
742107,DW-4300,LG,4,0,0
742111,JM-5275,RT,1,0,0
742113,JM-5275,RE,8,1,0
742114,JM-5275,RT,1,0,0
742115,AD-0100,RG,2,1,0
742117,TW-1350,LE,4,1,0
742124,GB-0350,LE,2,0,0
742126,GB-0350,RG,23,1,0
742127,GB-0350,LG,3,0,0
742128,JH-4025,RG,1,0,0
742131,GB-0350,RG,1,0,0
742132,GB-0350,LG,2,0,0
742135,TW-1350,LT,4,0,0
742138,JH-4025,MD,7,1,0
742143,TW-1350,LT,1,0,0
742144,TW-1350,LG,10,1,0
742146,JA-1025,MD,4,1,0
742147,JA-1025,MD,1,0,0
742152,GB-0350,RE,4,1,0
742154,TW-1350,LG,2,1,0
742158,GB-0350,RG,5,0,0
742161,JA-1025,LE,7,1,0
742164,JA-1025,RG,17,1,0
742166,MC-0150,LE,2,0,0
742169,JH-4025,RG,3,0,0
742172,JH-4025,RE,2,0,0
742175,TW-1350,LE,7,1,0
742176,TW-1350,LG,2,1,0
742177,TW-1350,LE,7,1,0
742179,JA-1025,LG,6,1,0
742180,JA-1025,RG,3,1,0
742181,TW-1350,RT,2,1,0
742182,TW-1350,LT,2,0,0
742183,JA-1025,LG,4,0,0
742184,JA-1025,LG,6,1,0
742185,JA-1025,LE,0,0,0
742186,TW-1350,MD,4,0,0
742188,JA-1025,LG,7,1,0
742189,JA-1025,RG,1,0,0
742192,TW-1350,RE,3,0,0
742200,TW-1350,RE,11,1,0
742201,TW-1350,LT,2,0,0
742202,JA-1025,LE,-3,0,0
742204,JA-1025,LG,4,0,0
742210,JM-5275,MD,1,0,0
742213,TW-1350,RE,4,1,0
742215,TW-1350,LG,8,1,0
742216,JA-1025,LT,-2,0,0
742226,JA-1025,RG,-1,0,0
742227,JA-1025,LT,2,0,0
742228,JA-1025,LT,8,0,0
742230,JM-5275,RT,3,0,0
742231,JM-5275,RG,4,0,0
742234,JA-1025,LG,-2,0,0
742235,JA-1025,LT,7,1,0
742236,JA-1025,RT,2,0,0
742238,JM-5275,RT,-4,0,0
742239,JM-5275,LE,-5,0,0
742242,LF-0650,RG,4,0,0
742243,LF-0650,LT,9,1,0
742251,LM-1150,LT,1,0,0
742255,LF-0650,RG,3,0,0
742256,LF-0650,MD,2,0,0
742259,TE-0350,MD,6,1,0
742262,LM-1150,LT,6,1,0
742263,LM-1150,LE,-1,0,0
742265,LM-1150,MD,-1,0,0
742270,LF-0650,RG,11,1,0
742271,LF-0650,RG,6,1,0
742273,CI-0300,RT,17,1,0
742275,CI-0300,RT,12,1,0
742277,LF-0650,RT,-1,0,0
742278,LF-0650,MD,3,0,0
742283,TE-0350,LG,-2,0,0
742288,LF-0650,LG,-1,0,0
742289,LF-0650,MD,4,1,0
742292,DF-1362,RT,4,1,0
742296,LF-0650,MD,4,1,0
742297,LF-0650,MD,-1,0,0
742301,LM-1150,RT,3,0,0
742304,LF-0650,MD,4,1,0
