gid,seas,wk,day,date,v,h,stad,surf
4524,2017,1,THU,9/7/2017 20:30,KC,NE,Gillette Stadium,FieldTurf
4525,2017,1,SUN,9/10/2017 13:00,ARI,DET,Ford Field,FieldTurf
4526,2017,1,SUN,9/10/2017 13:00,ATL,CHI,Soldier Field,Grass
4527,2017,1,SUN,9/10/2017 13:00,BAL,CIN,Paul Brown Stadium,UBU Speed Series S5M
4528,2017,1,SUN,9/10/2017 13:00,JAC,HOU,NRG Stadium,UBU Speed Series S5M
4529,2017,1,SUN,9/10/2017 13:00,NYJ,BUF,New Era Field,A Turf Titan
4530,2017,1,SUN,9/10/2017 13:00,OAK,TEN,Nissan Stadium,Grass
4531,2017,1,SUN,9/10/2017 13:00,PHI,WAS,FedEx Field,Grass
4532,2017,1,SUN,9/10/2017 13:00,PIT,CLE,FirstEnergy Stadium,Grass
4533,2017,1,SUN,9/10/2017 16:05,IND,LA,Los Angeles Memorial Coliseum,Grass
4534,2017,1,SUN,9/10/2017 16:25,CAR,SF,Levi's Stadium,Grass
4535,2017,1,SUN,9/10/2017 16:25,SEA,GB,Lambeau Field,DD GrassMaster
4536,2017,1,SN,9/10/2017 20:30,NYG,DAL,AT&T Stadium,AstroTurf
4537,2017,1,MN,9/11/2017 19:10,NO,MIN,U.S. Bank Stadium,UBU Speed Series S5M
4538,2017,1,MN,9/11/2017 22:20,LAC,DEN,Sports Authority Field at Mile High,Grass
4539,2017,2,THU,9/14/2017 20:25,HOU,CIN,Paul Brown Stadium,UBU Speed Series S5M
4540,2017,2,SUN,9/17/2017 13:00,ARI,IND,Lucas Oil Stadium,FieldTurf
4541,2017,2,SUN,9/17/2017 13:00,BUF,CAR,Bank of America Stadium,Grass
4542,2017,2,SUN,9/17/2017 13:00,CHI,TB,Raymond James Stadium,Grass
4543,2017,2,SUN,9/17/2017 13:00,CLE,BAL,M&T Bank Stadium,Grass
4544,2017,2,SUN,9/17/2017 13:00,MIN,PIT,Heinz Field,Grass
4545,2017,2,SUN,9/17/2017 13:00,NE,NO,Mercedes-Benz Superdome,UBU Speed Series S5M
4546,2017,2,SUN,9/17/2017 13:00,PHI,KC,Arrowhead Stadium,Grass
4547,2017,2,SUN,9/17/2017 13:00,TEN,JAC,EverBank Field,Grass
4548,2017,2,SUN,9/17/2017 16:05,MIA,LAC,StubHub Center,Grass
4549,2017,2,SUN,9/17/2017 16:05,NYJ,OAK,Oakland-Alameda County Coliseum,Grass
4550,2017,2,SUN,9/17/2017 16:25,DAL,DEN,Sports Authority Field at Mile High,Grass
4551,2017,2,SUN,9/17/2017 16:25,SF,SEA,CenturyLink Field,FieldTurf
4552,2017,2,SUN,9/17/2017 16:25,WAS,LA,Los Angeles Memorial Coliseum,Grass
4553,2017,2,SN,9/17/2017 20:30,GB,ATL,Mercedes-Benz Stadium,FieldTurf
4554,2017,2,MN,9/18/2017 20:30,DET,NYG,MetLife Stadium,UBU Speed Series S5M
4555,2017,3,THU,9/21/2017 20:25,LA,SF,Levi's Stadium,Grass
4556,2017,3,SUN,9/24/2017 9:30,BAL,JAC,EverBank Field,Grass
4557,2017,3,SUN,9/24/2017 13:00,ATL,DET,Ford Field,FieldTurf
4558,2017,3,SUN,9/24/2017 13:00,CLE,IND,Lucas Oil Stadium,FieldTurf
4559,2017,3,SUN,9/24/2017 13:00,DEN,BUF,New Era Field,A Turf Titan
4560,2017,3,SUN,9/24/2017 13:00,HOU,NE,Gillette Stadium,FieldTurf
4561,2017,3,SUN,9/24/2017 13:00,MIA,NYJ,MetLife Stadium,UBU Speed Series S5M
4562,2017,3,SUN,9/24/2017 13:00,NO,CAR,Bank of America Stadium,Grass
4563,2017,3,SUN,9/24/2017 13:00,NYG,PHI,Lincoln Financial Field,DD GrassMaster
4564,2017,3,SUN,9/24/2017 13:00,PIT,CHI,Soldier Field,Grass
4565,2017,3,SUN,9/24/2017 13:00,TB,MIN,U.S. Bank Stadium,UBU Speed Series S5M
4566,2017,3,SUN,9/24/2017 16:05,SEA,TEN,Nissan Stadium,Grass
4567,2017,3,SUN,9/24/2017 16:25,CIN,GB,Lambeau Field,DD GrassMaster
4568,2017,3,SUN,9/24/2017 16:25,KC,LAC,StubHub Center,Grass
4569,2017,3,SN,9/24/2017 20:30,OAK,WAS,FedEx Field,Grass
4570,2017,3,MN,9/25/2017 20:30,DAL,ARI,University of Phoenix Stadium,Grass
4571,2017,4,THU,9/28/2017 20:25,CHI,GB,Lambeau Field,DD GrassMaster
4572,2017,4,SUN,10/1/2017 9:30,NO,MIA,Hard Rock Stadium,Grass
4573,2017,4,SUN,10/1/2017 13:00,BUF,ATL,Mercedes-Benz Stadium,FieldTurf
4574,2017,4,SUN,10/1/2017 13:00,CAR,NE,Gillette Stadium,FieldTurf
4575,2017,4,SUN,10/1/2017 13:00,CIN,CLE,FirstEnergy Stadium,Grass
4576,2017,4,SUN,10/1/2017 13:00,DET,MIN,U.S. Bank Stadium,UBU Speed Series S5M
4577,2017,4,SUN,10/1/2017 13:00,JAC,NYJ,MetLife Stadium,UBU Speed Series S5M
4578,2017,4,SUN,10/1/2017 13:00,LA,DAL,AT&T Stadium,AstroTurf
4579,2017,4,SUN,10/1/2017 13:00,PIT,BAL,M&T Bank Stadium,Grass
4580,2017,4,SUN,10/1/2017 13:00,TEN,HOU,NRG Stadium,UBU Speed Series S5M
4581,2017,4,SUN,10/1/2017 16:05,NYG,TB,Raymond James Stadium,Grass
4582,2017,4,SUN,10/1/2017 16:05,PHI,LAC,StubHub Center,Grass
4583,2017,4,SUN,10/1/2017 16:05,SF,ARI,University of Phoenix Stadium,Grass
4584,2017,4,SUN,10/1/2017 16:25,OAK,DEN,Sports Authority Field at Mile High,Grass
