uid,gid,tname,player,pos,snp
19539,4524,KC,MM-5350,C,68
19540,4524,KC,BW-2750,LG,68
19541,4524,KC,LD-1000,RG,68
19542,4524,KC,MS-0550,RT,68
19543,4524,KC,EF-0050,LT,68
19544,4524,KC,AS-1600,QB,68
19545,4524,KC,TK-0150,TE,67
19546,4524,KC,CC-3950,RWR,64
19547,4524,KC,TH-1750,LWR,50
19548,4524,KC,AW-1650,LWR,39
19549,4524,KC,KH-2850,RB,38
19550,4524,KC,DH-1450,TE,25
19551,4524,KC,CW-1450,RB,23
19552,4524,KC,AS-0900,FB,12
19553,4524,KC,DT-0850,RWR,8
19554,4524,KC,RT-1550,TE,8
19555,4524,KC,DR-2225,LWR,5
19556,4524,KC,DJ-1600,LILB,68
19557,4524,KC,RP-0200,FS,68
19558,4524,KC,JH-5500,LOLB,68
19559,4524,KC,MP-0950,LCB,68
19560,4524,KC,DF-1350,ROLB,68
19561,4524,KC,TM-2850,RCB,68
19562,4524,KC,EB-0800,DB,68
19563,4524,KC,AB-0100,RDE,65
19564,4524,KC,PG-0050,LCB,53
19565,4524,KC,DS-3162,SS,48
19566,4524,KC,CJ-2168,LDE,48
19567,4524,KC,BL-1350,NT,44
19568,4524,KC,RN-1300,LDE,31
19569,4524,KC,RW-3550,RILB,25
19570,4524,KC,EM-2100,FS,13
19571,4524,KC,RM-4200,NT,13
19572,4524,KC,FZ-0100,LOLB,7
19573,4524,KC,KP-0650,LILB,2
19574,4524,NE,NS-0500,LT,81
19575,4524,NE,MC-0400,RT,81
19576,4524,NE,SM-0850,RG,81
19577,4524,NE,JT-2825,LG,81
19578,4524,NE,DA-1425,C,81
19579,4524,NE,TB-2300,QB,81
19580,4524,NE,RG-2200,TE,78
19581,4524,NE,CH-3350,RWR,73
19582,4524,NE,BC-2325,LWR,67
19583,4524,NE,JW-2550,RB,43
19584,4524,NE,DA-0900,LWR,32
19585,4524,NE,DA-0850,TE,27
19586,4524,NE,MG-0650,RB,24
19587,4524,NE,JD-1650,RB,19
19588,4524,NE,PD-0800,RWR,18
19589,4524,NE,RB-4670,RB,10
19590,4524,NE,LW-0050,LT,8
19591,4524,NE,DL-1700,RB,6
19592,4524,NE,KV-0075,SLB,68
19593,4524,NE,SG-0650,RCB,68
19594,4524,NE,MB-5250,LCB,68
19595,4524,NE,TF-0750,RDE,68
19596,4524,NE,DM-1300,FS,67
19597,4524,NE,DH-1250,FS,62
19598,4524,NE,MB-3875,DT,48
19599,4524,NE,PC-0300,SS,45
19600,4524,NE,AB-2700,DT,42
19601,4524,NE,JR-2150,SS,41
19602,4524,NE,ER-0475,RCB,36
19603,4524,NE,DH-2950,MLB,35
19604,4524,NE,LG-1000,LDE,26
19605,4524,NE,CM-0250,RDE,23
19606,4524,NE,AB-4000,DT,20
19607,4524,NE,DW-4150,DL,17
19608,4524,NE,ER-0250,MLB,9
19609,4524,NE,JJ-4565,LCB,3
19610,4524,NE,DH-1400,WLB,2
19611,4525,ARI,EB-1275,RG,75
19612,4525,ARI,JV-0300,RT,75
19613,4525,ARI,CP-0500,QB,75
19614,4525,ARI,AS-0920,C,75
19615,4525,ARI,LF-0200,LWR,74
19616,4525,ARI,MI-0200,LG,70
19617,4525,ARI,JW-2350,LT,67
19618,4525,ARI,JB-6750,RWR,63
19619,4525,ARI,JB-6750,RWR,55
19620,4525,ARI,JG-3700,TE,55
19621,4525,ARI,DJ-1325,RB,46
19622,4525,ARI,JN-0625,LWR,33
19623,4525,ARI,AE-0750,RB,20
19624,4525,ARI,TN-0550,TE,21
19625,4525,ARI,KW-1250,RB,9
19626,4525,ARI,DH-4550,LT,8
19627,4525,ARI,AB-2100,LG,5
19628,4525,ARI,IM-0300,TE,3
19629,4525,ARI,EP-0350,RB,0
19630,4525,ARI,TM-0850,FS,71
19631,4525,ARI,TB-2400,SS,71
19632,4525,ARI,PP-0400,LCB,71
19633,4525,ARI,CJ-2050,SAM,71
19634,4525,ARI,JB-3350,RCB,69
19635,4525,ARI,KD-0100,RILB,68
19636,4525,ARI,AB-1500,SS,60
19637,4525,ARI,MG-0925,WLB,54
19638,4525,ARI,FR-0200,RDT,43
19639,4525,ARI,CP-1300,NT,43
19640,4525,ARI,HR-0050,SILB,41
19641,4525,ARI,JB-8700,RILB,28
19642,4525,ARI,JM-1650,LDE,26
19643,4525,ARI,XW-0100,LDE,21
19644,4525,ARI,RG-2375,NT,17
19645,4525,ARI,OP-0150,LDE,12
19646,4525,ARI,KM-0425,SAM,7
19647,4525,ARI,TW-2700,LCB,3
19648,4525,ARI,BB-0550,FS,2
19649,4525,DET,TL-0300,RG,71
19650,4525,DET,GG-0342,LG,71
19651,4525,DET,RW-0150,RT,71
19652,4525,DET,GR-0450,LT,71
19653,4525,DET,TS-3650,C,71
19654,4525,DET,MS-4100,QB,71
19655,4525,DET,MJ-2250,RWR,69
19656,4525,DET,GT-0100,LWR,63
19657,4525,DET,EE-0050,TE,51
19658,4525,DET,KG-0650,LWR,44
19659,4525,DET,AA-0025,RB,36
19660,4525,DET,DF-0550,TE,32
19661,4525,DET,TR-0370,RB,21
19662,4525,DET,TJ-2350,RWR,19
19663,4525,DET,DW-1550,RB,14
19664,4525,DET,MR-1275,TE,6
19665,4525,DET,AB-0675,DL,14
19666,4525,DET,GQ-0100,FS,71
19667,4525,DET,DS-2250,LCB,71
19668,4525,DET,JD-0650,MLB,71
19669,4525,DET,TW-3250,SS,71
19670,4525,DET,QD-0300,RCB,58
19671,4525,DET,TW-1750,OLB,51
19672,4525,DET,AZ-0200,RDE,46
19673,4525,DET,DH-2150,LCB,41
19674,4525,DET,CW-0850,LDE,40
19675,4525,DET,HN-0300,RDT,40
19676,4525,DET,AR-1115,LDT,39
19677,4525,DET,AS-3050,LDT,35
19678,4525,DET,EA-0550,DL,34
19679,4525,DET,JL-0750,RDT,33
19680,4525,DET,NL-0250,RCB,32
19681,4525,DET,MK-0752,SS,29
19682,4525,DET,JV-0025,LDE,16
19683,4525,DET,PW-1400,OLB,12
19684,4525,DET,CW-0750,FS,3
19685,4525,DET,SL-0937,OLB,2
19686,4525,DET,JA-0425,LCB,0
19687,4526,ATL,AL-0700,LG,59
19688,4526,ATL,WS-0275,RG,59
19689,4526,ATL,RS-0650,RT,59
19690,4526,ATL,JM-1450,LT,59
19691,4526,ATL,MR-2500,QB,59
19692,4526,ATL,AM-0100,C,59
19693,4526,ATL,MS-0150,RWR,48
19694,4526,ATL,JJ-4700,LWR,48
19695,4526,ATL,AH-3650,TE,47
19696,4526,ATL,DF-1875,RB,36
19697,4526,ATL,TG-0025,RWR,31
19698,4526,ATL,LT-0550,TE,29
19699,4526,ATL,TC-2050,RB,24
19700,4526,ATL,JH-1350,LWR,12
19701,4526,ATL,DC-2850,FB,13
19702,4526,ATL,ES-0250,TE,2
19703,4526,ATL,AR-1100,LWR,2
19704,4526,ATL,RA-0650,LCB,59
19705,4526,ATL,KN-0125,FS,59
19706,4526,ATL,DJ-2450,MLB,59
19707,4526,ATL,RA-0675,SS,59
19708,4526,ATL,DT-1970,RCB,59
19709,4526,ATL,GJ-0250,DT,50
19710,4526,ATL,DR-1750,WLB,49
19711,4526,ATL,DC-0325,WLB,47
19712,4526,ATL,DP-1450,DT,43
19713,4526,ATL,BP-1050,RCB,36
19714,4526,ATL,JC-5560,DT,32
19715,4526,ATL,BR-0200,LDE,32
19716,4526,ATL,VB-0075,SLB,27
19717,4526,ATL,DS-1760,RDE,26
19718,4526,ATL,AC-1500,LDE,25
19719,4526,ATL,CU-0050,RDE,18
19720,4526,ATL,TM-2250,LDE,14
19721,4526,ATL,DK-0362,SS,2
19722,4526,CHI,JS-3500,RG,67
19723,4526,CHI,BM-0360,RT,67
19724,4526,CHI,TC-2350,RT,67
19725,4526,CHI,CL-0862,LT,67
19726,4526,CHI,MG-0850,QB,67
19727,4526,CHI,CW-1875,LG,67
19728,4526,CHI,DS-2170,TE,48
19729,4526,CHI,KW-0887,WR,47
19730,4526,CHI,DT-1250,LWR,44
19731,4526,CHI,ZM-0250,TE,40
19732,4526,CHI,KW-2550,LWR,39
19733,4526,CHI,JH-5575,RB,38
19734,4526,CHI,JB-2950,RWR,33
19735,4526,CHI,TC-1975,RB,28
19736,4526,CHI,AS-0775,TE,8
19737,4526,CHI,MB-5175,FB,6
19738,4526,CHI,BC-3070,RB,4
19739,4526,CHI,EJ-0125,FS,59
19740,4526,CHI,MC-2570,RCB,59
19741,4526,CHI,QD-0100,SS,59
19742,4526,CHI,KF-0500,RCB,58
19743,4526,CHI,JF-3060,LB,56
19744,4526,CHI,LF-0450,ROLB,55
19745,4526,CHI,AH-3050,DE,49
19746,4526,CHI,DT-1950,RILB,42
19747,4526,CHI,SA-0100,ROLB,40
19748,4526,CHI,EG-0350,NT,40
19749,4526,CHI,MU-0500,DE,31
19750,4526,CHI,BC-0150,LCB,31
19751,4526,CHI,JB-7450,DE,21
19752,4526,CHI,WY-0300,LOLB,20
19753,4526,CHI,RR-0850,DE,18
19754,4526,CHI,NK-0800,RILB,7
19755,4526,CHI,PM-0500,LOLB,4
19756,4527,BAL,RS-2650,LT,66
19757,4527,BAL,JH-6500,LT,66
19758,4527,BAL,RJ-0850,C,66
19759,4527,BAL,AH-3700,RT,66
19760,4527,BAL,MY-0100,OL,66
19761,4527,BAL,JF-1900,QB,66
19762,4527,BAL,JM-0200,WR,48
19763,4527,BAL,MW-0500,RWR,47
19764,4527,BAL,NB-0450,TE,45
19765,4527,BAL,BP-0450,LWR,42
19766,4527,BAL,BW-0700,TE,40
19767,4527,BAL,JA-1025,RB,33
19768,4527,BAL,TW-1350,RB,27
19769,4527,BAL,MW-2450,TE,17
19770,4527,BAL,MC-0150,LWR,13
19771,4527,BAL,PR-0125,NT,12
19772,4527,BAL,DW-4300,RB,6
19773,4527,BAL,BC-0500,LCB,61
19774,4527,BAL,TJ-0950,SS,61
19775,4527,BAL,CM-3250,MLB,61
19776,4527,BAL,EW-0400,FS,60
19777,4527,BAL,JS-4300,RCB,54
19778,4527,BAL,MJ-2700,SLB,52
19779,4527,BAL,BU-0150,DE,51
19780,4527,BAL,TS-3500,RUSH,49
19781,4527,BAL,LW-0700,FS,46
19782,4527,BAL,MP-1225,NT,38
19783,4527,BAL,BW-2020,DT,34
19784,4527,BAL,KC-2325,WLB,27
19785,4527,BAL,PO-0175,WLB,20
19786,4527,BAL,AL-0650,SS,15
19787,4527,BAL,TB-2025,SLB,15
19788,4527,BAL,MH-3742,LCB,9
19789,4527,BAL,CD-0650,NT,8
19790,4527,BAL,ZS-0075,RUSH,7
19791,4527,BAL,BB-2580,LB,2
19792,4527,BAL,CC-1950,FS,1
19793,4527,CIN,AD-0100,QB,61
19794,4527,CIN,CB-2000,LG,61
