uid,pid,tck,value
488768,741568,RP-0200,1
488769,741569,DJ-1600,0.5
488770,741569,RP-0200,0.5
488771,741570,EB-0800,1
488772,741571,PG-0050,1
488773,741572,DJ-1600,0.5
488774,741572,DF-1350,0.5
488775,741573,PG-0050,1
488776,741580,JR-2150,1
488777,741582,RP-0200,1
488778,741583,RP-0200,1
488779,741585,BL-1350,0.5
488780,741585,EB-0800,0.5
488781,741587,RP-0200,1
488782,741588,BL-1350,0.5
488783,741588,AB-0100,0.5
488784,741589,JR-2150,0.5
488785,741589,SG-0650,0.5
488786,741590,MB-3875,0.5
488787,741590,JR-2150,0.5
488788,741592,DM-1300,1
488789,741593,MB-5250,1
488790,741594,SG-0650,1
488791,741595,MB-3875,1
488792,741596,PC-0300,1
488793,741597,KV-0075,1
488794,741599,KV-0075,1
488795,741603,RP-0200,1
488796,741604,EB-0800,0.5
488797,741604,RP-0200,0.5
488798,741606,PG-0050,1
488799,741609,TM-2850,1
488800,741610,DJ-1600,0.5
488801,741610,RP-0200,0.5
488802,741614,DM-1300,1
488803,741617,JH-5500,0.5
488804,741617,EB-0800,0.5
488805,741618,AB-0100,1
488806,741619,TM-2850,1
488807,741621,JH-5500,1
488808,741622,EB-0800,1
488809,741623,MP-0950,0.5
488810,741623,RP-0200,0.5
488811,741624,RM-4200,0.5
488812,741624,TM-2850,0.5
488813,741625,DJ-1600,1
488814,741626,BL-1350,0.5
488815,741626,DF-1350,0.5
488816,741631,KV-0075,1
488817,741632,KV-0075,1
488818,741633,AB-2700,0.5
488819,741633,TF-0750,0.5
488820,741634,LG-1000,0.5
488821,741634,DH-2950,0.5
488822,741637,DF-1350,1
488823,741642,CM-0250,1
488824,741643,AB-4000,0.5
488825,741643,CM-0250,0.5
488826,741644,DM-1300,1
488827,741645,ER-0475,1
488828,741646,MB-3875,1
488829,741648,DM-1300,1
488830,741649,DH-2950,1
488831,741650,MB-5250,1
488832,741653,DM-1300,1
488833,741659,LG-1000,0.5
488834,741659,TF-0750,0.5
488835,741661,DM-1300,1
488836,741662,DM-1300,0.5
488837,741662,SG-0650,0.5
488838,741663,MB-5250,1
488839,741666,DF-1350,1
488840,741667,AB-0100,1
488841,741668,DJ-1600,1
488842,741675,BL-1350,1
488843,741676,EB-0800,1
488844,741678,DS-3162,1
488845,741681,TF-0750,0.5
488846,741681,DH-1400,0.5
488847,741686,PG-0050,1
488848,741688,RM-4200,0.5
488849,741688,AB-0100,0.5
488850,741692,LG-1000,1
488851,741693,MB-3875,1
488852,741698,TM-2850,1
488853,741699,DS-3162,1
488854,741700,DJ-1600,1
488855,741701,AB-0100,1
488856,741702,DJ-1600,1
488857,741707,PC-0300,1
488858,741708,MB-3875,0.5
488859,741708,JR-2150,0.5
488860,741712,RP-0200,1
488861,741713,DJ-1600,0.5
488862,741713,RP-0200,0.5
488863,741715,MP-0950,0.5
488864,741715,EB-0800,0.5
488865,741716,JH-5500,0.5
488866,741716,FZ-0100,0.5
488867,741718,CM-0250,1
488868,741719,DM-1300,1
488869,741722,BL-1350,1
488870,741723,EM-2100,0.5
488871,741723,TM-2850,0.5
488872,741728,DM-1300,1
488873,741729,LG-1000,0.5
488874,741729,KV-0075,0.5
488875,741730,SG-0650,1
488876,741731,MB-5250,1
488877,741733,LG-1000,1
488878,741741,DM-1300,1
488879,741749,KV-0075,1
488880,741750,AB-2700,1
488881,741752,MB-3875,1
488882,741757,QD-0300,1
488883,741758,EA-0550,1
488884,741759,GQ-0100,1
488885,741760,AZ-0200,1
488886,741763,HR-0050,1
488887,741767,KD-0100,1
488888,741768,AB-1500,1
488889,741771,JD-0650,1
488890,741772,AS-3050,0.5
488891,741772,NL-0250,0.5
488892,741773,CW-0850,0.5
488893,741773,TW-1750,0.5
488894,741776,AB-1500,1
488895,741779,JL-0750,0.5
488896,741779,GQ-0100,0.5
488897,741780,TW-3250,1
488898,741783,GQ-0100,1
488899,741784,AZ-0200,1
488900,741785,MK-0752,1
488901,741788,TM-0850,1
488902,741789,AB-1500,1
488903,741790,JB-8700,1
488904,741791,CJ-2050,1
488905,741792,JB-8700,1
488906,741794,TB-2400,1
488907,741795,KD-0100,1
488908,741796,HR-0050,1
488909,741797,HR-0050,1
488910,741800,AS-3050,1
488911,741801,QD-0300,1
488912,741806,HR-0050,0.5
488913,741806,KD-0100,0.5
488914,741807,HR-0050,1
488915,741808,TB-2400,1
488916,741809,JM-1650,1
488917,741811,TB-2400,1
488918,741812,KD-0100,1
488919,741813,HR-0050,1
488920,741814,HR-0050,1
488921,741815,CJ-2050,1
488922,741823,FR-0200,1
488923,741824,JB-8700,1
488924,741825,TB-2400,1
488925,741828,NL-0250,1
488926,741830,GQ-0100,1
488927,741833,JD-0650,1
488928,741839,PP-0400,0.5
488929,741839,TB-2400,0.5
488930,741842,AB-1500,1
488931,741845,KD-0100,1
488932,741848,CP-1300,1
488933,741849,JB-8700,1
488934,741850,TB-2400,1
488935,741851,XW-0100,1
488936,741852,JB-3350,1
488937,741855,TW-1750,1
488938,741856,DH-2150,1
488939,741857,AR-1115,1
488940,741859,TW-3250,1
488941,741861,DH-2150,1
488942,741862,DS-2250,1
488943,741863,QD-0300,1
488944,741864,JD-0650,1
488945,741867,GQ-0100,1
488946,741871,TB-2400,1
488947,741872,MG-0925,1
488948,741876,AR-1115,1
488949,741877,JM-1650,1
488950,741881,JD-0650,1
488951,741882,JV-0025,0.5
488952,741882,TW-1750,0.5
488953,741883,TW-1750,1
488954,741885,TW-3250,1
488955,741886,NL-0250,1
488956,741889,TM-0850,0.5
488957,741889,JB-3350,0.5
488958,741891,KD-0100,0.5
488959,741891,AB-1500,0.5
488960,741892,JB-3350,1
488961,741893,TM-0850,1
488962,741894,TB-2400,1
488963,741896,TB-2400,1
488964,741897,FR-0200,0.5
488965,741897,HR-0050,0.5
488966,741901,JD-0650,1
488967,741903,JL-0750,0.5
488968,741903,TW-1750,0.5
488969,741907,JB-3350,1
488970,741908,FR-0200,1
488971,741909,TB-2400,1
488972,741910,KD-0100,1
488973,741917,JD-0650,1
488974,741918,MK-0752,1
488975,741919,AR-1115,1
488976,741922,DH-2150,1
488977,741923,JD-0650,1
488978,741925,JD-0650,1
488979,741926,JD-0650,1
488980,741931,JM-1650,1
488981,741932,CP-1300,1
488982,741935,JF-3060,1
488983,741936,KF-0500,1
488984,741937,MC-2570,1
488985,741938,MC-2570,1
488986,741939,QD-0100,1
488987,741940,WY-0300,1
488988,741941,LF-0450,1
488989,741942,JF-3060,0.5
488990,741942,LF-0450,0.5
488991,741943,MU-0500,0.5
488992,741943,JF-3060,0.5
488993,741944,JF-3060,1
488994,741947,DC-0325,1
488995,741949,DC-0325,0.5
488996,741949,DR-1750,0.5
488997,741950,KN-0125,0.5
488998,741950,BP-1050,0.5
488999,741953,DT-1950,1
489000,741956,RA-0675,1
489001,741957,DJ-2450,1
489002,741958,DC-0325,1
489003,741959,RA-0650,1
489004,741961,RA-0675,1
489005,741962,VB-0075,1
489006,741967,MU-0500,1
489007,741968,SA-0100,1
489008,741972,KN-0125,1
489009,741973,BP-1050,1
489010,741975,EJ-0125,1
489011,741976,MU-0500,0.5
489012,741976,JF-3060,0.5
