tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd,fp
9047,4524,KC,42,7,7,7,21,8,17,1,188,33,352,35,28,3,0,1,6,262,4,10,4,86,0,0,139,30,6,2,4,0,0,0,0,3,3,112,178,14,10,3,1,23,12,8,3,1,40,0,0,1,1,8,41,3,32,6,31,5,28,14,134,9,36,1,3,2,9,7,62,7,54,13,74,3,25,0,0,4,120,12,161,6,35,10,55,6,84,51,606,18,228,11,69,9,22,9,15,4,5,31,8,66,5,74,9,120,2,6,6,19,16,2,0,357,15,254,0,3,0,10.5,2,8,2.5,11.5,13.5,2,1,1,5,1,3,0,1,4,2,1,6,3,1,68,81,3
9048,4524,NE,27,7,10,10,0,10,11,4,125,36,247,36,16,3,0,0,6,242,1,8,3,49,0,0,55,30,3,3,0,0,2,2,57,6,3,53,151,18,9,7,2,13,5,5,3,5,34,5,33,6,20,9,20,3,11,3,-1,3,8,15,75,13,31,6,19,1,1,11,122,3,20,7,25,10,73,2,27,3,0,8,88,12,108,8,33,8,38,41,292,17,110,11,76,11,61,3,3,10,11,47,12,93,3,16,10,28,16,32,4,5,20,0,0,389,14,232,0,1,0,8,7,7.5,2.5,6.5,15.5,9,6,2,10,3,9,0,0,1,2,0,1,3,0,81,68,1
9049,4525,ARI,23,10,0,7,6,4,15,5,45,18,264,48,27,1,3,1,4,184,1,0,2,46,1,82,55,26.5,3,1,1,1,1,2,53,4,2,10,81,7,4,1,2,21,10,6,5,5,19,5,11,0,0,6,13,0,0,1,1,1,1,8,25,7,17,3,3,1,2,15,88,13,109,13,48,2,24,1,0,3,0,22,106,6,43,6,15,13,105,39,240,23,100,13,93,13,71,8,13,6,7,9,8,20,0,0,5,21,4,6,8,4,5,1,0,342,12,136,0,1,0,9.5,0,9.5,10.5,6,14.5,6,6,4,9,2,3,7,1,5,0,0,3,1,1,75,71,8
9050,4525,DET,35,0,9,6,20,3,15,1,83,28,285,41,29,1,1,0,5,189,3,48,3,49,3,83,100,33.5,5,0,4,1,1,1,58,3,3,25,76,10,6,2,2,20,5,9,6,3,2,5,11,0,0,3,30,0,0,8,26,7,14,20,42,3,10,3,31,1,15,10,38,12,68,11,60,1,16,2,63,3,47,14,144,11,101,3,9,11,38,49,294,9,74,20,134,13,77,11,11,7,5,15,9,18,7,22,8,122,6,9,4,29,7,0,0,476,13,189,0,1,0,8,2.5,5,7.5,4,15,34,3,2,10,5,6,7,1,2,1,0,3,4,1,71,75,16
9051,4526,ATL,23,3,7,3,10,4,12,2,66,25,308,30,21,2,0,0,3,178,2,24,1,11,0,0,73,30.5,2,1,1,0,3,3,113,3,1,13,173,8,3,3,2,16,8,5,3,3,2,4,18,4,27,0,0,4,7,5,6,1,6,11,33,7,26,3,7,1,13,10,67,7,100,10,48,1,0,1,60,1,18,14,113,4,36,3,100,9,44,18,215,13,104,11,73,8,103,6,7,8,6,19,7,47,2,-1,9,119,3,24,2,4,13,0,1,183,10,133,0,0,0,5,3,7,10,6,16,5,2,1,5,1,6,0,0,3,0,0,2,2,1,59,67,5
9052,4526,CHI,17,0,10,0,7,6,11,3,125,19,176,40,26,4,0,0,5,244,3,45,3,70,0,0,40,29.5,2,1,1,0,1,1,54,3,2,72,22,10,5,4,1,14,6,3,5,6,59,1,2,3,7,0,0,2,13,1,2,6,36,11,36,7,76,1,7,0,0,18,57,9,100,12,56,1,0,0,0,0,0,8,40,6,42,9,70,17,61,35,166,16,51,14,54,14,71,8,14,4,4,29,8,29,0,0,19,84,3,15,6,21,37,0,0,253,9,200,1,3,0,4,2,10.5,7.5,4.5,12.5,3,2,2,6,1,3,0,0,2,0,0,1,1,0,67,59,2
9053,4527,BAL,20,3,14,3,0,8,5,4,157,42,111,17,9,1,1,0,6,250,3,23,0,0,4,69,85,34,2,1,1,0,2,2,50,3,1,38,48,19,9,6,4,5,1,2,2,7,24,10,25,11,51,4,8,4,20,3,11,3,18,20,57,14,56,8,44,0,0,7,33,8,88,1,0,0,0,0,0,1,0,9,69,0,0,3,19,5,33,22,184,5,19,7,46,6,46,2,6,1,6,15,8,51,0,0,0,0,4,10,5,8,10,3,1,386,13,236,0,1,0,5,1,10.5,9,6.5,11,0,2,2,9,3,8,0,2,5,2,0,2,1,0,66,61,25
9054,4527,CIN,0,0,0,0,0,3,8,3,77,22,144,31,16,5,4,1,5,212,3,14,1,11,1,0,66,26,0,0,0,0,0,0,0,3,0,35,66,8,6,1,1,11,5,3,3,2,-3,0,0,2,5,2,8,7,39,5,13,4,15,14,58,7,17,1,2,1,2,8,63,6,33,9,47,3,0,1,27,2,0,15,98,6,11,2,9,6,52,40,213,12,80,11,27,13,37,6,8,2,6,25,5,5,0,0,0,0,3,5,7,5,26,0,0,369,12,189,0,2,0,12,1,18.5,4,10.5,4,0,2,1,8,3,5,0,1,3,0,1,3,2,0,61,66,4
9055,4528,JAC,29,3,16,7,3,7,8,4,157,41,125,21,11,0,0,0,4,187,1,7,0,0,1,67,89,30,3,1,1,1,3,4,105,4,2,72,20,17,10,6,1,11,7,1,3,1,15,1,9,4,11,12,27,11,36,6,53,2,6,19,88,15,64,3,5,1,15,6,64,2,22,9,19,4,20,0,0,0,0,5,17,7,54,3,18,6,36,19,124,7,66,4,18,10,41,1,7,3,10,66,8,73,0,0,0,0,9,14,3,10,0,1.5,0,420,11,146,1,0,0,9.5,8.5,8,6.5,5.5,13,0,4,2,6,2,7,7,1,1,0,1,5,2,0,64,79,28
9056,4528,HOU,7,0,0,7,0,4,11,8,93,23,110,36,19,10,1,3,5,216,1,21,1,24,0,0,94,30,1,0,1,0,0,0,0,2,1,0,26,14,10,2,2,16,6,7,3,2,8,5,20,3,10,6,26,0,0,7,29,0,0,16,71,5,10,2,12,2,16,11,46,8,76,11,42,2,0,1,0,3,0,16,55,3,0,10,60,7,49,47,165,15,49,20,49,11,12,5,11,3,5,11,7,12,0,0,0,0,0,0,6,11,54,0,0,318,12,209,0,2,0,9,1,13,2,14,6,25,2,2,7,1,4,0,0,4,0,1,3,1,0,79,64,0
